period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,25,4.074999999999999,75.0,0.0,12.836249999999998,1.5,0.0
1,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,26.575,4.074999999999999,79.725,0.0,12.836249999999998,1.4548714677834813,-0.04512853221651869
2,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,27.9925,4.074999999999999,83.97749999999999,0.0,12.836249999999998,1.4175566378349886,-0.08244336216501136
3,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,29.26825,4.074999999999999,87.80475,0.0,12.836249999999998,1.3863180741584746,-0.11368192584152537
4,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,30.416424999999997,4.074999999999999,91.24927499999998,0.0,12.836249999999998,1.3599006440906292,-0.14009935590937084
5,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,31.449782499999998,4.074999999999999,94.3493475,0.0,12.836249999999998,1.3373726587585995,-0.16262734124140055
6,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,32.37980425,4.074999999999999,97.13941274999999,0.0,12.836249999999998,1.3180265356211405,-0.18197346437885953
7,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,33.216823825,4.074999999999999,99.65047147499999,0.0,12.836249999999998,1.3013143288196063,-0.1986856711803937
8,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,33.970141442499994,4.074999999999999,101.91042432749998,0.0,12.836249999999998,1.2868045439612097,-0.2131954560387903
9,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,34.648127298249996,4.074999999999999,103.94438189475,0.0,12.836249999999998,1.2741524106242232,-0.22584758937577676
10,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,35.25831456842499,4.074999999999999,105.77494370527498,0.0,12.836249999999998,1.263078926465765,-0.23692107353423508
11,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,35.80748311158249,4.074999999999999,107.42244933474748,0.0,12.836249999999998,1.2533557723306414,-0.24664422766935856
12,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,36.30173480042424,4.074999999999999,108.90520440127273,0.0,12.836249999999998,1.2447942499250626,-0.2552057500749374
13,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,36.746561320381815,4.074999999999999,110.23968396114545,0.0,12.836249999999998,1.2372370334511902,-0.2627629665488098
