period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.1,0,1.5,1.6500000000000001,10,2.7225000000000006,18.150000000000002,4.075000000000001,40.75000000000001,16.34897727638194,25,3.1744886381909705,82.5,12.375000000000002,0.0,1.4301938838683885,-0.06980611613161147
1,2,0,0.1,0,1.5,1.6500000000000001,10,2.7225000000000006,18.150000000000002,4.075000000000001,40.75000000000001,16.078823867839233,25.674488638190972,3.0394119339196166,84.72581250603021,12.708871875904533,0.0,1.4112827056894115,-0.0887172943105885
2,2,0,0.1,0,1.5,1.6500000000000001,10,2.7225000000000006,18.150000000000002,4.075000000000001,40.75000000000001,15.76814744801512,26.146451708291494,2.8840737240075596,86.28329063736193,12.942493595604292,0.0,1.3984873454417177,-0.10151265455828229
3,2,0,0.1,0,1.5,1.6500000000000001,10,2.7225000000000006,18.150000000000002,4.075000000000001,40.75000000000001,15.41086956521739,26.415880261469905,2.7054347826086946,87.1724048628507,13.075860729427607,0.0,1.3913371365079437,-0.10866286349205634
4,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,26.47972701793161,2.499999999999999,79.43918105379483,0.0,0.0,1.457486402006981,-0.0425135979930189
5,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,26.331754316138447,2.499999999999999,78.99526294841534,0.0,0.0,1.4615758761976085,-0.03842412380239146
6,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,26.198578884524604,2.499999999999999,78.59573665357381,0.0,0.0,1.465285987046723,-0.03471401295327703
7,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,26.078720996072143,2.499999999999999,78.23616298821642,0.0,0.0,1.46864935659794,-0.03135064340206006
8,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.97084889646493,2.499999999999999,77.91254668939479,0.0,0.0,1.4716962751230105,-0.02830372487698951
9,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.873764006818437,2.499999999999999,77.62129202045531,0.0,0.0,1.4744547777386439,-0.025545222261356137
10,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.786387606136593,2.499999999999999,77.35916281840977,0.0,0.0,1.4769507380417357,-0.02304926195826429
11,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.707748845522936,2.499999999999999,77.12324653656881,0.0,0.0,1.4792079736108605,-0.020792026389139462
12,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.636973960970643,2.499999999999999,76.91092188291194,0.0,0.0,1.4812483590998162,-0.018751640900183775
13,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.57327656487358,2.499999999999999,76.71982969462074,0.0,0.0,1.4830919434360703,-0.016908056563929685
14,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.515948908386225,2.499999999999999,76.54784672515868,0.0,0.0,1.4847570683291738,-0.015242931670826243
15,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.464354017547603,2.499999999999999,76.3930620526428,0.0,0.0,1.4862604858928583,-0.013739514107141693
16,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.417918615792843,2.499999999999999,76.25375584737853,0.0,0.0,1.4876174736945906,-0.01238252630540937
17,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.37612675421356,2.499999999999999,76.12838026264068,0.0,0.0,1.4888419459748439,-0.011158054025156128
18,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.338514078792205,2.499999999999999,76.01554223637662,0.0,0.0,1.4899465601335535,-0.010053439866446467
19,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.304662670912986,2.499999999999999,75.91398801273895,0.0,0.0,1.490942817871765,-0.00905718212823503
20,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.274196403821687,2.499999999999999,75.82258921146506,0.0,0.0,1.4918411606108999,-0.008158839389100114
21,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.24677676343952,2.499999999999999,75.74033029031855,0.0,0.0,1.4926510589984514,-0.007348941001548592
22,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.222099087095568,2.499999999999999,75.6662972612867,0.0,0.0,1.4933810964546814,-0.006618903545318577
23,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.199889178386012,2.499999999999999,75.59966753515803,0.0,0.0,1.4940390468267335,-0.005960953173266503
24,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.179900260547413,2.499999999999999,75.53970078164224,0.0,0.0,1.4946319463003581,-0.005368053699641884
25,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.161910234492673,2.499999999999999,75.48573070347803,0.0,0.0,1.4951661597803172,-0.004833840219682806
26,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.145719211043406,2.499999999999999,75.43715763313023,0.0,0.0,1.49564744199284,-0.004352558007159946
27,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.131147289939065,2.499999999999999,75.3934418698172,0.0,0.0,1.4960809935910053,-0.003919006408994674
28,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.11803256094516,2.499999999999999,75.35409768283549,0.0,0.0,1.496471512559703,-0.00352848744029699
29,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.106229304850643,2.499999999999999,75.31868791455193,0.0,0.0,1.496823241223506,-0.0031767587764939265
30,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.09560637436558,2.499999999999999,75.28681912309673,0.0,0.0,1.4971400091604687,-0.0028599908395312568
31,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.086045736929023,2.499999999999999,75.25813721078707,0.0,0.0,1.4974252723193284,-0.0025747276806715735
32,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.07744116323612,2.499999999999999,75.23232348970836,0.0,0.0,1.497682148628212,-0.002317851371788082
33,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.06969704691251,2.499999999999999,75.20909114073753,0.0,0.0,1.497913450370878,-0.0020865496291220254
34,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.062727342221258,2.499999999999999,75.18818202666378,0.0,0.0,1.4981217135926628,-0.0018782864073372263
35,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.056454607999132,2.499999999999999,75.1693638239974,0.0,0.0,1.498309224783325,-0.0016907752166750445
36,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.05080914719922,2.499999999999999,75.15242744159767,0.0,0.0,1.4984780450684831,-0.0015219549315168557
37,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0457282324793,2.499999999999999,75.1371846974379,0.0,0.0,1.498630032125696,-0.00136996787430399
38,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.04115540923137,2.499999999999999,75.12346622769411,0.0,0.0,1.4987668600257738,-0.0012331399742262494
