period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,15.879070615099279,25,2.9395353075496393,75.0,0.0,0.0,1.5,0.0
1,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,16.010931207364173,25.43953530754964,3.0054656036820866,76.31860592264891,0.0,0.0,1.48698530407844,-0.013014695921560016
2,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,16.162570888468803,25.901047380476765,3.0812854442344015,77.70314214143029,0.0,0.0,1.4736780002709375,-0.026321999729062462
3,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,16.336956521739125,26.392228086663494,3.1684782608695627,79.17668425999048,0.0,0.0,1.4599004266432722,-0.04009957335672776
4,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,26.921483538866706,3.268749999999999,84.80267314743013,6.36020048605726,0.0,1.410643004843845,-0.08935699515615503
5,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,27.498085184980035,3.268749999999999,86.61896833268712,6.496422624951535,0.0,1.3957749100938495,-0.10422508990615054
6,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,28.01702666648203,3.268749999999999,88.25363399941841,6.619022549956382,0.0,1.3827879684427846,-0.11721203155721538
7,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,28.484073999833825,3.268749999999999,89.72483309947656,6.7293624824607425,0.0,1.3714044715382094,-0.12859552846179056
8,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,28.904416599850443,3.268749999999999,91.0489122895289,6.828668421714669,0.0,1.3613961240216899,-0.13860387597831014
9,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,29.282724939865396,3.268749999999999,92.24058356057601,6.918043767043202,0.0,1.3525734858837029,-0.14742651411629715
10,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,29.623202445878853,3.268749999999999,93.3130877045184,6.998481577838881,0.0,1.344778046324942,-0.1552219536750581
11,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,29.929632201290964,3.268749999999999,94.27834143406655,7.070875607554992,0.0,1.3378761874392626,-0.16212381256073738
12,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,30.20541898116187,3.268749999999999,95.1470697906599,7.1360302342994935,0.0,1.3317545269847266,-0.16824547301527337
13,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,30.45362708304568,3.268749999999999,95.9289253115939,7.194669398369544,0.0,1.3263162822818555,-0.1736837177181445
14,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,30.677014374741113,3.268749999999999,96.63259528043451,7.24744464603259,0.0,1.3214784002996978,-0.17852159970030224
15,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,30.878062937267003,3.268749999999999,97.26589825239107,7.294942368929331,0.0,1.317169269688206,-0.18283073031179398
16,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.0590066435403,3.268749999999999,97.83587092715196,7.337690319536398,0.0,1.3133268798123459,-0.18667312018765414
17,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.221855979186273,3.268749999999999,98.34884633443677,7.376163475082759,0.0,1.3098973267243814,-0.19010267327561858
18,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.368420381267647,3.268749999999999,98.8105242009931,7.410789315074483,0.0,1.30683359102604,-0.19316640897395998
19,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.50032834314088,3.268749999999999,99.22603428089378,7.441952571067035,0.0,1.3040945307364524,-0.19590546926354757
20,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.619045508826794,3.268749999999999,99.59999335280442,7.469999501460332,0.0,1.3016440456238227,-0.19835595437617726
21,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.725890957944117,3.268749999999999,99.93655651752398,7.4952417388143,0.0,1.299450379364087,-0.20054962063591297
22,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.822051862149706,3.268749999999999,100.23946336577158,7.51795975243287,0.0,1.2974855333171607,-0.20251446668283934
23,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.90859667593474,3.268749999999999,100.51207952919444,7.538405964689584,0.0,1.2957247713326432,-0.2042752286673568
24,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,31.986487008341264,3.268749999999999,100.75743407627499,7.556807555720625,0.0,1.2941461992884151,-0.20585380071158488
25,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.056588307507134,3.268749999999999,100.97825316864748,7.573368987648562,0.0,1.2927304063688623,-0.20726959363113773
26,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.11967947675642,3.268749999999999,101.17699035178272,7.588274276383705,0.0,1.2914601576517792,-0.20853984234822076
27,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.176461529080775,3.268749999999999,101.35585381660445,7.601689036245335,0.0,1.2903201295750555,-0.20967987042494451
28,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.2275653761727,3.268749999999999,101.51683093494401,7.613762320120802,0.0,1.2892966814294151,-0.21070331857058489
29,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.27355883855543,3.268749999999999,101.66171034144962,7.624628275608723,0.0,1.2883776572709558,-0.21162234272904423
30,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.31495295469989,3.268749999999999,101.79210180730466,7.63440763554785,0.0,1.2875522136413906,-0.2124477863586094
31,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.352207659229904,3.268749999999999,101.9094541265742,7.643209059493066,0.0,1.2868106692809806,-0.21318933071901935
32,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.38573689330691,3.268749999999999,102.01507121391678,7.65113034104376,0.0,1.2861443736618812,-0.21385562633811883
33,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.415913203976224,3.268749999999999,102.11012659252512,7.658259494439385,0.0,1.2855455916908183,-0.21445440830918172
34,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.443071883578604,3.268749999999999,102.19567643327261,7.664675732495446,0.0,1.2850074023548905,-0.21499259764510947
35,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.46751469522074,3.268749999999999,102.27267128994535,7.670450346745902,0.0,1.2845236094324526,-0.21547639056754742
36,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.489513225698666,3.268749999999999,102.3419666609508,7.675647499571311,0.0,1.2840886626777845,-0.21591133732221546
37,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.5093119031288,3.268749999999999,102.40433249485572,7.680324937114181,0.0,1.283697588125532,-0.21630241187446808
38,2,0,0.05,0,1.5,1.5750000000000002,10,2.4806250000000007,16.5375,3.2687500000000007,32.68750000000001,16.537499999999998,32.52713071281592,3.268749999999999,102.46046174537015,7.684534630902762,0.0,1.283345926358208,-0.2166540736417919
