period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,25,4.074999999999999,75.0,0.0,12.836249999999998,1.5,0.0
1,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,26.575,4.074999999999999,79.725,0.0,12.836249999999998,1.4548714677834813,-0.04512853221651869
2,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,27.9925,4.074999999999999,83.97749999999999,0.0,12.836249999999998,1.4175566378349886,-0.08244336216501136
3,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.999999999999998,29.26825,4.074999999999999,87.80475,0.0,12.836249999999998,1.3863180741584746,-0.11368192584152537
4,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,30.416424999999997,3.2874999999999988,91.24927499999998,0.0,5.177812499999998,1.3599006440906292,-0.14009935590937084
5,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,30.662282499999996,3.2874999999999988,91.98684749999998,0.0,5.177812499999998,1.3544376672048664,-0.14556233279513364
6,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,30.883554249999996,3.2874999999999988,92.65066274999998,0.0,5.177812499999998,1.3495768675701727,-0.1504231324298273
7,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.082698824999994,3.2874999999999988,93.24809647499998,0.0,5.177812499999998,1.345246600422355,-0.1547533995776449
8,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.261928942499992,3.2874999999999988,93.78578682749998,0.0,5.177812499999998,1.3413847900951714,-0.15861520990482858
9,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.42323604824999,3.2874999999999988,94.26970814474997,0.0,5.177812499999998,1.337937447880128,-0.16206255211987197
10,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.56841244342499,3.2874999999999988,94.70523733027497,0.0,5.177812499999998,1.3348574582777581,-0.16514254172224185
11,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.69907119908249,3.2874999999999988,95.09721359724747,0.0,5.177812499999998,1.3321035777546322,-0.16789642224536783
12,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.816664079174238,3.2874999999999988,95.44999223752271,0.0,5.177812499999998,1.3296396031697844,-0.17036039683021564
13,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,31.922497671256814,3.2874999999999988,95.76749301377043,0.0,5.177812499999998,1.3274336767366621,-0.17256632326333787
14,2,0,0,0.1575,1.5,1.5,8.425,2.25,14.999999999999998,3.2874999999999988,32.874999999999986,14.999999999999998,32.017747904131134,3.2874999999999988,96.0532437123934,0.0,5.177812499999998,1.3254577016719953,-0.17454229832800472
