period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.295523587552672,25,2.1477617937763362,75.0,0.0,0.0,1.5,0.0
1,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.189852125685574,24.647761793776336,2.094926062842787,73.943285381329,0.0,0.0,1.5106801382207373,0.010680138220737323
2,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.06832994453841,24.27791167724149,2.0341649722692052,72.83373503172447,0.0,0.0,1.522143508315757,0.022143508315757066
3,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.928579436219175,23.88428548178655,1.9642897181095877,71.65285644535965,0.0,0.0,1.534635133612709,0.03463513361270909
4,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.767866351652055,23.46014665171748,1.8839331758260274,70.38043995515244,0.0,0.0,1.548445420887649,0.04844542088764903
5,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.583046304399865,22.99806516237176,1.7915231521999324,68.99419548711528,0.0,0.0,1.5639238880895194,0.06392388808951943
6,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.370503250059846,22.489781798334516,1.685251625029923,67.46934539500354,0.0,0.0,1.581497983428351,0.0814979834283509
7,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.126078737568825,21.92605524353099,1.5630393687844126,65.77816573059297,0.0,0.0,1.6016993944828009,0.10169939448280085
8,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,12.844990548204152,21.296489087962303,1.4224952741020758,63.889467263886914,0.0,0.0,1.6252016603405646,0.12520166034056457
9,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,12.521739130434776,20.58933545326815,1.260869565217388,61.768006359804446,0.0,0.0,1.6528753338755433,0.1528753338755433
10,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,19.791271473158723,1.0749999999999966,48.0927896797757,0.0,0.0,1.8731903248817279,0.3731903248817279
11,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,18.887144325842847,1.0749999999999966,45.89576071179812,0.0,0.0,1.9175010236126362,0.4175010236126362
12,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,18.07342989325856,1.0749999999999966,43.9184346406183,0.0,0.0,1.960191332634497,0.4601913326344971
13,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,17.3410869039327,1.0749999999999966,42.13884117655646,0.0,0.0,2.0011543930323,0.5011543930323001
14,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,16.681978213539427,1.0749999999999966,40.53720705890081,0.0,0.0,2.0403044609500642,0.5403044609500642
15,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,16.08878039218548,1.0749999999999966,39.09573635301072,0.0,0.0,2.0775773030237197,0.5775773030237197
16,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,15.55490235296693,1.0749999999999966,37.798412717709645,0.0,0.0,2.1129299999374083,0.6129299999374083
17,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,15.074412117670235,1.0749999999999966,36.63082144593867,0.0,0.0,2.146340210132968,0.6463402101329678
18,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,14.641970905903207,1.0749999999999966,35.579989301344796,0.0,0.0,2.1778049679467295,0.6778049679467295
19,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,14.252773815312885,1.0749999999999966,34.63424037121031,0.0,0.0,2.2073391055264207,0.7073391055264207
20,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.902496433781593,1.0749999999999966,33.78306633408927,0.0,0.0,2.2349733955071978,0.7349733955071978
21,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.58724679040343,1.0749999999999966,33.01700970068034,0.0,0.0,2.2607525120682124,0.7607525120682124
22,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.303522111363083,1.0749999999999966,32.327558730612296,0.0,0.0,2.284732902694392,0.7847329026943921
23,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.048169900226771,1.0749999999999966,31.707052857551055,0.0,0.0,2.3069806531326775,0.8069806531326775
24,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.81835291020409,1.0749999999999966,31.148597571795943,0.0,0.0,2.3275694151926145,0.8275694151926145
25,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.61151761918368,1.0749999999999966,30.645987814616344,0.0,0.0,2.34657845267837,0.84657845267837
26,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.425365857265309,1.0749999999999966,30.193639033154703,0.0,0.0,2.3640908461409857,0.8640908461409857
27,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.257829271538775,1.0749999999999966,29.786525129839223,0.0,0.0,2.3801918833208218,0.8801918833208218
28,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.107046344384894,1.0749999999999966,29.420122616855295,0.0,0.0,2.3949676498232626,0.8949676498232626
29,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.971341709946401,1.0749999999999966,29.090360355169757,0.0,0.0,2.408503824159009,0.9085038241590091
30,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.84920753895176,1.0749999999999966,28.793574319652777,0.0,0.0,2.4208846729567752,0.9208846729567752
31,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.739286785056581,1.0749999999999966,28.526466887687494,0.0,0.0,2.432192235898659,0.932192235898659
32,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.64035810655092,1.0749999999999966,28.286070198918736,0.0,0.0,2.4425056855761986,0.9425056855761986
33,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.551322295895826,1.0749999999999966,28.06971317902686,0.0,0.0,2.4519008447728314,0.9519008447728314
34,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.471190066306239,1.0749999999999966,27.874991861124162,0.0,0.0,2.460449842360293,0.9604498423602932
35,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.399071059675613,1.0749999999999966,27.69974267501174,0.0,0.0,2.4682208887604,0.9682208887604
36,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.33416395370805,1.0749999999999966,27.54201840751056,0.0,0.0,2.475278152494779,0.9752781524947789
37,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.27574755833724,1.0749999999999966,27.400066566759495,0.0,0.0,2.481681720480068,0.9816817204800681
38,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.223172802503512,1.0749999999999966,27.272309910083536,0.0,0.0,2.4874876262202545,0.9874876262202545
39,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.175855522253158,1.0749999999999966,27.157328919075177,0.0,0.0,2.4927479317364742,0.9927479317364742
40,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.13326997002784,1.0749999999999966,27.05384602716765,0.0,0.0,2.497510850831345,0.997510850831345
41,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.094942973025052,1.0749999999999966,26.960711424450878,0.0,0.0,2.5018209030171032,1.0018209030171032
42,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.060448675722544,1.0749999999999966,26.876890282005782,0.0,0.0,2.5057190890807104,1.0057190890807104
43,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.029403808150285,1.0749999999999966,26.801451253805194,0.0,0.0,2.509243080774021,1.009243080774021
44,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.001463427335253,1.0749999999999966,26.733556128424667,0.0,0.0,2.51242741848065,1.0124274184806499
45,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.976317084601725,1.0749999999999966,26.67245051558219,0.0,0.0,2.515303711914517,1.015303711914517
46,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.95368537614155,1.0749999999999966,26.61745546402397,0.0,0.0,2.5179008399488434,1.0179008399488434
47,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.933316838527393,1.0749999999999966,26.567959917621568,0.0,0.0,2.520245146566171,1.0202451465661708
48,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.91498515467465,1.0749999999999966,26.5234139258594,0.0,0.0,2.5223606306710753,1.0223606306710753
49,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.898486639207182,1.0749999999999966,26.48332253327345,0.0,0.0,2.524269128131466,1.0242691281314662
50,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.883637975286462,1.0749999999999966,26.447240279946104,0.0,0.0,2.525990484926219,1.025990484926219
51,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.870274177757814,1.0749999999999966,26.41476625195149,0.0,0.0,2.5275427206910015,1.0275427206910015
52,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.85824675998203,1.0749999999999966,26.385539626756337,0.0,0.0,2.52894218228431,1.0289421822843101
53,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.847422083983826,1.0749999999999966,26.3592356640807,0.0,0.0,2.5302036872548337,1.0302036872548337
54,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.83767987558544,1.0749999999999966,26.33556209767262,0.0,0.0,2.5313406572908126,1.0313406572908126
55,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.828911888026894,1.0749999999999966,26.314255887905354,0.0,0.0,2.5323652418822933,1.0323652418822933
56,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.821020699224203,1.0749999999999966,26.295080299114815,0.0,0.0,2.5332884325370557,1.0332884325370557
57,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.813918629301778,1.0749999999999966,26.277822269203323,0.0,0.0,2.5341201679680947,1.0341201679680947
58,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.807526766371598,1.0749999999999966,26.262290042282984,0.0,0.0,2.534869430721447,1.034869430721447
59,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.801774089734437,1.0749999999999966,26.248311038054684,0.0,0.0,2.535544335743273,1.035544335743273
60,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.796596680760992,1.0749999999999966,26.23572993424921,0.0,0.0,2.5361522113990342,1.0361522113990342
61,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.79193701268489,1.0749999999999966,26.224406940824284,0.0,0.0,2.5366996734590708,1.0366996734590708
62,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.7877433114164,1.0749999999999966,26.214216246741852,0.0,0.0,2.5371926925569643,1.0371926925569643
63,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.783968980274757,1.0749999999999966,26.20504462206766,0.0,0.0,2.537636655612259,1.0376366556122592
64,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.780572082247279,1.0749999999999966,26.19679015986089,0.0,0.0,2.5380364216893896,1.0380364216893896
65,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.777514874022547,1.0749999999999966,26.18936114387479,0.0,0.0,2.5383963727416545,1.0383963727416545
66,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.77476338662029,1.0749999999999966,26.182675029487307,0.0,0.0,2.5387204596639776,1.0387204596639776
67,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.772287047958258,1.0749999999999966,26.17665752653857,0.0,0.0,2.5390122440520395,1.0390122440520395
68,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.770058343162429,1.0749999999999966,26.171241773884702,0.0,0.0,2.5392749360388605,1.0392749360388605
69,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.768052508846182,1.0749999999999966,26.166367596496222,0.0,0.0,2.539511428553619,1.0395114285536189
