period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.638492367296761,25,2.3192461836483806,75.0,0.0,0.0,1.5,0.0
1,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.584266222391276,24.81924618364838,2.2921331111956382,74.45773855094515,0.0,0.0,1.505452197533979,0.005452197533978964
2,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.52190615574997,24.629454676479185,2.2609530778749853,73.88836402943755,0.0,0.0,1.5112414795402238,0.011241479540223809
3,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.450192079112467,24.427462286706252,2.2250960395562336,73.28238686011875,0.0,0.0,1.5174768964152279,0.01747689641522787
4,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.367720890979339,24.20981209759186,2.1838604454896693,72.62943629277558,0.0,0.0,1.5242828173858547,0.024282817385854694
5,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.272879024626242,23.972691333322345,2.136439512313121,71.91807399996704,0.0,0.0,1.5318028267226729,0.03180282672267287
6,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.16381087832018,23.711861712303232,2.0819054391600904,71.1355851369097,0.0,0.0,1.540204672752755,0.040204672752754966
7,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.03838251006821,23.422580980233,2.019191255034105,70.26774294069901,0.0,0.0,1.5496866395171496,0.04968663951714958
8,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.894139886578445,23.099514137243805,1.9470699432892227,69.29854241173142,0.0,0.0,1.5604858707822604,0.06048587078226042
9,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,13.728260869565213,22.736632666808646,1.8641304347826066,68.20989800042594,0.0,0.0,1.5728894182988398,0.07288941829883977
10,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,22.32709983491039,1.768749999999999,60.450622803019876,0.0,0.0,1.670788590716884,0.17078859071688401
11,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,21.863139851419348,1.768749999999999,59.194451147717885,0.0,0.0,1.6884235136799466,0.18842351367994659
12,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,21.445575866277416,1.768749999999999,58.0638966579461,0.0,0.0,1.7047818060236393,0.20478180602363927
13,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,21.069768279649672,1.768749999999999,57.046397617151484,0.0,0.0,1.719918145511089,0.219918145511089
14,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,20.731541451684706,1.768749999999999,56.13064848043634,0.0,0.0,1.7338912737717558,0.23389127377175578
15,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,20.427137306516236,1.768749999999999,55.30647425739271,0.0,0.0,1.7467626779552168,0.24676267795521678
16,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,20.153173575864614,1.768749999999999,54.56471745665344,0.0,0.0,1.7585954103952914,0.25859541039529144
17,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,19.90660621827815,1.768749999999999,53.89713633598809,0.0,0.0,1.7694530565351163,0.2694530565351163
18,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,19.684695596450332,1.768749999999999,53.29631332738928,0.0,0.0,1.7793988537622116,0.27939885376221163
19,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,19.4849760368053,1.768749999999999,52.75557261965035,0.0,0.0,1.7884949577459717,0.28849495774597167
20,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,19.305228433124768,1.768749999999999,52.26890598268531,0.0,0.0,1.7968018483346655,0.2968018483346655
21,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,19.14345558981229,1.768749999999999,51.83090600941678,0.0,0.0,1.804377863931701,0.30437786393170096
22,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,18.997860030831063,1.768749999999999,51.436706033475105,0.0,0.0,1.8112788513477267,0.3112788513477267
23,1.9,0,0,0,1.5,1.5,10,2.030625,13.5375,1.7687499999999998,17.687499999999996,13.537499999999998,18.86682402774796,1.768749999999999,51.0819260551276,0.0,0.0,1.8175579172041767,0.3175579172041767
