period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
1,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
2,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
3,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
4,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
5,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
6,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
7,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
8,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
9,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
10,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,25.0,1.0749999999999966,60.75000000000001,0.0,0.0,1.6666666666666665,0.16666666666666652
11,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,23.574999999999996,1.0749999999999966,57.28724999999999,0.0,0.0,1.7162988174351665,0.21629881743516655
12,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,22.292499999999993,1.0749999999999966,54.170774999999985,0.0,0.0,1.764978284105533,0.26497828410553304
13,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,21.13824999999999,1.0749999999999966,51.365947499999976,0.0,0.0,1.812525974532952,0.31252597453295206
14,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,20.099424999999986,1.0749999999999966,48.84160274999997,0.0,0.0,1.8587754902591318,0.3587754902591318
15,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,19.164482499999984,1.0749999999999966,46.56969247499996,0.0,0.0,1.903575934603567,0.403575934603567
16,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,18.32303424999998,1.0749999999999966,44.524973227499956,0.0,0.0,1.9467942607585231,0.44679426075852313
17,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,17.565730824999978,1.0749999999999966,42.684725904749946,0.0,0.0,1.9883170756886046,0.4883170756886046
18,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,16.884157742499976,1.0749999999999966,41.02850331427494,0.0,0.0,2.028051846832342,0.5280518468323421
19,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,16.270741968249975,1.0749999999999966,39.53790298284744,0.0,0.0,2.0659274922720274,0.5659274922720274
20,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,15.718667771424975,1.0749999999999966,38.19636268456269,0.0,0.0,2.101894368163665,0.601894368163665
21,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,15.221800994282475,1.0749999999999966,36.98897641610642,0.0,0.0,2.1359236970388498,0.6359236970388498
22,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,14.774620894854223,1.0749999999999966,35.902328774495764,0.0,0.0,2.168006504917189,0.668006504917189
23,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,14.372158805368798,1.0749999999999966,34.92434589704618,0.0,0.0,2.198152152596582,0.6981521525965819
24,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,14.009942924831915,1.0749999999999966,34.044161307341554,0.0,0.0,2.2263865564677383,0.7263865564677383
25,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.68394863234872,1.0749999999999966,33.251995176607394,0.0,0.0,2.2527501969731505,0.7527501969731505
26,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.390553769113843,1.0749999999999966,32.53904565894664,0.0,0.0,2.2772960092837478,0.7772960092837478
27,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,13.126498392202457,1.0749999999999966,31.897391093051972,0.0,0.0,2.3000872422105005,0.8000872422105005
28,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.888848552982207,1.0749999999999966,31.319901983746764,0.0,0.0,2.3211953593180357,0.8211953593180357
29,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.674963697683982,1.0749999999999966,30.800161785372076,0.0,0.0,2.340698042178062,0.8406980421780621
30,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.482467327915579,1.0749999999999966,30.332395606834858,0.0,0.0,2.3586773410529682,0.8586773410529682
31,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.309220595124017,1.0749999999999966,29.911406046151363,0.0,0.0,2.3752180041413737,0.8752180041413737
32,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.153298535611611,1.0749999999999966,29.53251544153622,0.0,0.0,2.390406003656876,0.8904060036568762
33,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,12.012968682050449,1.0749999999999966,29.191513897382592,0.0,0.0,2.404327265960578,0.9043272659605779
34,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.8866718138454,1.0749999999999966,28.884612507644324,0.0,0.0,2.417066603974501,0.9170666039745008
35,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.773004632460857,1.0749999999999966,28.608401256879883,0.0,0.0,2.4287068432001955,0.9287068432001955
36,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.670704169214769,1.0749999999999966,28.35981113119189,0.0,0.0,2.4393281277321157,0.9393281277321157
37,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.578633752293289,1.0749999999999966,28.136080018072693,0.0,0.0,2.4490073894648345,0.9490073894648345
38,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.495770377063955,1.0749999999999966,27.934722016265415,0.0,0.0,2.4578179619698375,0.9578179619698375
39,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.421193339357558,1.0749999999999966,27.753499814638868,0.0,0.0,2.4658293199683388,0.9658293199683388
40,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.3540740054218,1.0749999999999966,27.590399833174978,0.0,0.0,2.4731069256689855,0.9731069256689855
41,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.293666604879618,1.0749999999999966,27.443609849857474,0.0,0.0,2.479712164219051,0.9797121642190509
42,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.239299944391654,1.0749999999999966,27.31149886487172,0.0,0.0,2.485702351917346,0.9857023519173458
43,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.190369949952487,1.0749999999999966,27.192598978384545,0.0,0.0,2.4911308024793315,0.9911308024793315
44,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.146332954957234,1.0749999999999966,27.085589080546082,0.0,0.0,2.496046938391558,0.996046938391558
45,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.106699659461508,1.0749999999999966,26.989280172491465,0.0,0.0,2.5004964361407445,1.0004964361407445
46,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.071029693515353,1.0749999999999966,26.90260215524231,0.0,0.0,2.504521395780211,1.0045213957802108
47,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.038926724163815,1.0749999999999966,26.824591939718072,0.0,0.0,2.5081605268555047,1.0081605268555047
48,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,11.010034051747432,1.0749999999999966,26.754382745746263,0.0,0.0,2.5114493441243213,1.0114493441243213
49,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.984030646572688,1.0749999999999966,26.69119447117163,0.0,0.0,2.514420367760385,1.0144203677603851
50,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.960627581915414,1.0749999999999966,26.63432502405446,0.0,0.0,2.517103323824997,1.0171033238249971
51,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.93956482372387,1.0749999999999966,26.583142521649005,0.0,0.0,2.519525341728997,1.019525341728997
52,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.920608341351482,1.0749999999999966,26.537078269484102,0.0,0.0,2.5217111462023314,1.0217111462023314
53,1.8,0,0,0,1.5,1.5,10,1.8225000000000002,12.15,1.0750000000000002,10.750000000000002,12.149999999999993,10.90354750721633,1.0749999999999966,26.495620442535685,0.0,0.0,2.523683241951442,1.0236832419514421
