period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.1,0,1.4530939592270713,1.5984033551497785,10,2.5548932857540687,17.03262190502712,3.5163109525135603,35.1631095251356,16.256276996104923,25,3.1281384980524614,79.92016775748893,11.613151298882132,0.0,1.453093959227259,1.8762769116165146e-13
1,2,0,0.1,0,1.4411239843632075,1.5852363827995284,10,2.5129743893513328,16.753162595675548,3.376581297837774,33.76581297837774,16.139825259766592,25.62813849805246,3.069912629883296,81.25331514107604,11.709610125882685,0.0,1.441123984365265,2.05746530923534e-12
2,2,0,0.1,0,1.431742393348417,1.5749166326832589,10,2.480362399902375,16.5357493326825,3.2678746663412497,32.6787466634125,16.04782465938025,26.13523727813051,3.023912329690125,82.32163977690257,11.786338155854875,0.0,1.4317423933451325,-3.284483796051063e-12
3,2,0,0.1,0,1.4243259180824732,1.5667585098907206,10,2.4547322283149913,16.36488152209994,3.1824407610499694,31.824407610499694,15.974635958384916,26.545625880007584,2.987317979192458,83.18117049575446,11.84770970335402,0.0,1.424325918065409,-1.7064127888488656e-11
4,2,0,0.1,0,1.4184237578486598,1.560266133633526,10,2.434430407763712,16.22953605175808,3.114768025879039,31.14768025879039,15.916099123827664,26.878381271199284,2.958049561913832,83.87485604868377,11.897008850558944,0.0,1.4184237578079528,-4.070699333169614e-11
5,2,0,0.1,0,1.4137021751291328,1.5550723926420462,10,2.418250146357458,16.121667642383052,3.060833821191526,30.60833821191526,15.869083584638101,27.148592705993188,2.9345417923190507,84.43605403234646,11.936743324484919,0.0,1.413702175054469,-7.466383067367133e-11
6,2,0,0.1,0,1.4099094584450773,1.550900404289585,10,2.4052920640255984,16.03528042683732,3.0176402134186606,30.176402134186606,15.83119597597636,27.36827522771292,2.91559798798818,84.8909382307372,11.968853674779321,0.0,1.4099094583274185,-1.17658771614515e-10
7,2,0,0.1,0,1.4068529010354702,1.5475381911390174,10,2.3948744530338217,15.965829686892143,2.9829148434460713,29.829148434460713,15.80058330834722,27.547045692929807,2.9002916541736097,85.26021052572091,11.99485745210054,0.0,1.4068529008689583,-1.6651191536709575e-10
8,2,0,0.1,0,1.4043831756892278,1.5448214932581508,10,2.3864734460323427,15.909822973548948,2.954911486774474,29.54911486774474,15.775796351565484,27.692632777810438,2.887898175782742,85.56034864013347,12.015951413630814,0.0,1.4043831754727527,-2.1647506009969675e-10
9,2,0,0.1,0,1.4023834308483831,1.5426217739332215,10,2.379681937412879,15.864546249419192,2.932273124709596,29.32273124709596,15.755692358267964,27.811267675812136,2.877846179133982,85.80453415478596,12.0330856990336,0.0,1.4023834305864655,-2.6191759872062903e-10
10,2,0,0.1,0,1.400761497418021,1.540837647159823,10,2.3741806549050195,15.827871032700127,2.9139355163500635,29.139355163500635,15.739364274595284,27.907987087364905,2.8696821372976418,86.00335432132412,12.047018738211062,0.0,1.4007614971208735,-2.971474177826394e-10
11,2,0,0.1,0,1.3994442029841685,1.5393886232825855,10,2.369717333491854,15.798115556612359,2.8990577783061795,28.990577783061795,15.726088260879559,27.986870515926057,2.8630441304397793,86.1653401469988,12.058358576687652,0.0,1.3994442026669627,-3.172058171685421e-10
12,2,0,0.1,0,1.3983731493723623,1.5382104643095986,10,2.366091432511551,15.773942883410337,2.8869714417051684,28.869714417051682,15.715284166519638,28.05122759477323,2.857642083259819,86.29738364602072,12.0675944151681,0.0,1.398373149053867,-3.184954522339467e-10
13,2,0,0.1,0,1.397501528832028,1.537251681715231,10,2.363142732936306,15.754284886242038,2.877142443121019,28.77142443121019,15.706485358986034,28.10374691855573,2.8532426794930172,86.40506442609808,12.075120963430194,0.0,1.3975015285328438,-2.9918423294361673e-10
14,2,0,0.1,0,1.3967916919027819,1.5364708610930602,10,2.36074270698805,15.738284713253664,2.869142356626832,28.69142356626832,15.699315429897636,28.146614906193175,2.849657714948818,86.49290728354678,12.081257430217578,0.0,1.396791691643427,-2.593547598905843e-10
15,2,0,0.1,0,1.3962132687759,1.53583459565349,10,2.3587879052061194,15.725252701374126,2.862626350687063,28.62626350687063,15.693470037394233,28.181611130522676,2.8467350186971165,86.56458667102038,12.086262451618007,0.0,1.3962132685749695,-2.0093038344271008e-10
16,2,0,0.1,0,1.3957417044837621,1.5353158749321385,10,2.357194835818638,15.714632238790918,2.857316119395459,28.573161193954586,15.688702637797249,28.210185036167527,2.8443513188986245,86.62308984160214,12.090345906316784,0.0,1.395741704356352,-1.2741008248440266e-10
17,2,0,0.1,0,1.3953571076645435,1.534892818430998,10,2.3558959640710526,15.705973093807016,2.852986546903508,28.529865469035077,15.6848131976482,28.2335178514494,2.8424065988241,86.67084757846612,12.0936783195923,0.0,1.3953571076210618,-4.348166271483933e-11
18,2,0,0.1,0,1.3950433397264717,1.534547673699119,10,2.354836562855378,15.698910419035851,2.8494552095179255,28.494552095179255,15.68163921322438,28.25257266512856,2.8408196066121896,86.70983931857671,12.096398383013298,0.0,1.3950433397719082,4.5436543416599307e-11
19,2,0,0.1,0,1.3947872901839082,1.5342660192022992,10,2.3539722176788698,15.69314811785913,2.8465740589295647,28.465740589295645,15.67904853235266,28.268135005227894,2.83952426617633,86.74167792948833,12.098618990527637,0.0,1.394787290317576,1.336677435403999e-10
20,2,0,0.1,0,1.394578297427349,1.5340361271700842,10,2.3532668394629908,15.688445596419935,2.8442227982099677,28.442227982099677,15.676933594526691,28.280845770881434,2.8384667972633455,86.76767823891483,12.100432099014988,0.0,1.3945782976430618,2.1571278097098912e-10
21,2,0,0.1,0,1.3944076839490307,1.533848452343934,10,2.3526910747578813,15.68460716505254,2.84230358252627,28.4230358252627,15.675206794242708,28.291227991056637,2.837603397121354,86.78891253798321,12.101912652454416,0.0,1.3944076842356616,2.866309412041801e-10
22,2,0,0.1,0,1.3942683822127042,1.5336952204339747,10,2.3522210291820183,15.681473527880119,2.8407367639400594,28.407367639400594,15.673796738621235,28.29970858907233,2.8368983693106173,86.80625560546908,12.103121756897986,0.0,1.3942683825550317,3.423274996805503e-10
23,2,0,0.1,0,1.3941546326917678,1.5335700959609446,10,2.351837239225661,15.67891492817107,2.839457464085535,28.394574640855346,15.672645220232404,28.306636099475718,2.836322610116202,86.82042127880904,12.104109253810256,0.0,1.3941546330715204,3.797526737514545e-10
24,2,0,0.1,0,1.3940617396223143,1.533467913584546,10,2.3515238419933406,15.676825613288935,2.8384128066444676,28.384128066444674,15.671704764041605,28.31229509964435,2.8358523820208026,86.83199219048316,12.104915808793617,0.0,1.3940617400193231,3.970088702232033e-10
25,2,0,0.1,0,1.3939858730844328,1.5333844603928761,10,2.3512679033743518,15.67511935582901,2.8375596779145047,28.375596779145045,15.670936636654508,28.31691797170072,2.835468318327254,86.84144396805128,12.105574608971683,0.0,1.3939858734778,3.9336711665782786e-10
26,2,0,0.1,0,1.39392390838703,1.5333162992257332,10,2.351058873471298,15.673725823141984,2.836862911570992,28.36862911570992,15.670309228778335,28.320694492857903,2.8351546143891673,86.84916494258297,12.106112743691508,0.0,1.3939239087562443,3.692142147571076e-10
27,2,0,0.1,0,1.3938732955668358,1.5332606251235195,10,2.350888144554166,15.672587630361104,2.836293815180552,28.36293815180552,15.66979673962379,28.323779657961282,2.834898369811895,86.85547220845308,12.106552328521023,0.0,1.3938732958927773,3.259414960155027e-10
28,2,0,0.1,0,1.3938319532496477,1.5332151485746126,10,2.3507486918186715,15.671657945457808,2.835828972728904,28.358289727289037,15.669378106013193,28.32630006197705,2.8346890530065965,86.86062471618641,12.106911420864671,0.0,1.3938319535154349,2.6578717005065755e-10
29,2,0,0.1,0,1.3937981822552148,1.5331780004807365,10,2.350634781158109,15.67089854105406,2.8354492705270298,28.354492705270296,15.669036130096503,28.328359108785943,2.8345180650482513,86.86483395061738,12.107204766227158,0.0,1.393798182446874,1.9165913300867032e-10
30,2,0,0.1,0,1.3937705952259725,1.5331476547485698,10,2.35054173126104,15.67027820840693,2.8351391042034653,28.351391042034653,15.668756768452871,28.3300412629556,2.8343783842264356,86.86827264246118,12.107444406713517,0.0,1.393770595332912,1.069395683117591e-10
31,2,0,0.1,0,1.3937480592761946,1.5331228652038142,10,2.3504657198107526,15.669771465405015,2.8348857327025074,28.348857327025073,15.668528552459764,28.331415520886477,2.8342642762298818,86.87108187732258,12.107640177374176,0.0,1.393748059291485,1.5290435584347506e-11
32,2,0,0.1,0,1.393729649231456,1.5331026141546016,10,2.3504036255276732,15.66935750351782,2.8346787517589096,28.346787517589096,15.668342115517978,28.33253824502771,2.834171057758989,86.87337689817441,12.10780011118447,0.0,1.3937296491519324,-7.952349889706056e-11
33,2,0,0.1,0,1.3937146094888004,1.5330860704376805,10,2.3503528993700487,15.669019329133656,2.834509664566828,28.345096645668278,15.668189807318003,28.33345547828393,2.8340949036590013,86.87525184224657,12.107930769555788,0.0,1.393714609314994,-1.7380652472809288e-10
34,2,0,0.1,0,1.3937023228989456,1.5330725551888402,10,2.3503114594732395,15.668743063154928,2.834371531577464,28.343715315774638,15.668065379045656,28.334204834114537,2.834032689522828,86.87678360855992,12.1080375121239,0.0,1.3937023226348793,-2.6406632436248856e-10
35,2,0,0.1,0,1.3936922853714306,1.533061513908574,10,2.3502776054276486,15.668517369517655,2.8342586847588276,28.342586847588276,15.667963726429267,28.334817040225914,2.8339818632146336,86.8780350160224,12.108124717005943,0.0,1.3936922850242952,-3.47135431510992e-10
