period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,13.898139886097516,25,3.5240699430487576,75.0,0.0,11.100820320603587,1.5,0.0
1,2,0,0,0.315,1.4800606857210108,1.4800606857210108,6.8500000000000005,2.1905796334169487,14.603864222779656,3.8769321113898276,38.76932111389827,13.732860869012145,26.024069943048758,3.441430434506072,77.03440561032058,0.0,10.840505868694127,1.4800606857107115,-1.0299316954842652e-11
2,2,0,0,0.315,1.464488350421127,1.464488350421127,6.8500000000000005,2.144726128519194,14.298174190127957,3.7240870950639784,37.24087095063978,13.60221036594702,26.863093383249954,3.3761051829735096,78.68137463208883,0.0,10.634731326366555,1.464488350415711,-5.416112003331364e-12
3,2,0,0,0.315,1.4521636001028606,1.4521636001028606,6.8500000000000005,2.108779121463701,14.058527476424672,3.6042637382123357,36.04263738212335,13.49781579231988,27.55288922789847,3.3239078961599398,80.02260562884074,0.0,10.47030987290381,1.4521636001234148,2.0554224988700298e-11
4,2,0,0,0.315,1.4423092616595616,1.4423092616595616,6.8500000000000005,2.0802560062689497,13.86837337512633,3.5091866875631648,35.091866875631645,13.413709039704163,28.121508201268565,3.281854519852081,81.11982346104995,0.0,10.337841737534054,1.4423092617350914,7.552980463287895e-11
5,2,0,0,0.315,1.4343674034477736,1.4343674034477736,6.8500000000000005,2.057409848073508,13.716065653823385,3.4330328269116923,34.33032826911692,13.345509389390838,28.59121190099379,3.2477546946954186,82.0206047517071,0.0,10.230427288290569,1.4343674036130682,1.6529466684289673e-10
6,2,0,0,0.315,1.4279266763084582,1.4279266763084582,6.8500000000000005,2.0389745929133203,13.593163952755466,3.371581976377733,33.715819763777326,13.289925949725957,28.97984540558983,3.219962974862978,82.76218865987366,0.0,10.142883370818382,1.4279266765987766,2.903184359581701e-10
7,2,0,0,0.315,1.4226772196071893,1.4226772196071893,6.8500000000000005,2.024010471189243,13.493403141261616,3.321701570630808,33.217015706308075,13.244440249271532,29.301823839893824,3.197220124635766,83.3740745399196,0.0,10.071243392602662,1.4226772200518667,4.44677406008509e-10
8,2,0,0,0.315,1.4183815074953068,1.4183815074953068,6.8500000000000005,2.011806100804659,13.412040672031058,3.2810203360155286,32.810203360155285,13.207095815473021,29.568861580540208,3.1785479077365104,83.87985292705336,0.0,10.012425909370007,1.4183815081120674,6.167606425577787e-10
9,2,0,0,0.315,1.4148548383070747,1.4148548383070747,6.8500000000000005,2.0018142134809387,13.345428089872923,3.2477140449364614,32.47714044936461,13.176354086989317,29.7905233302227,3.1631770434946582,84.29853213893075,0.0,9.964007687008174,1.4148548390981723,7.910976318470375e-10
10,2,0,0,0.315,1.4119518852959914,1.4119518852959914,6.8500000000000005,1.9936081263909042,13.290720842606026,3.220360421303013,32.203604213030125,13.150992986556778,29.97464804069509,3.1504964932783888,84.64552162428645,0.0,9.924063953826924,1.4119518862466032,9.50611811489921e-10
11,2,0,0,0.315,1.4095571852334534,1.4095571852334534,6.8500000000000005,1.9868514584432562,13.245676389621705,3.1978381948108523,31.97838194810852,13.130033808149392,30.12767972990397,3.1400169040746957,84.93337487539682,0.0,9.891053247835291,1.4095571863122764,1.078823030908893e-09
12,2,0,0,0.315,1.407578260254808,1.407578260254808,6.8500000000000005,1.9812765587419519,13.20851039161301,3.179255195806505,31.79255195806505,13.112687420928546,30.25492866098827,3.131343710464273,85.17235969753439,0.0,9.86373268796246,1.4075782614164765,1.161668539140237e-09
13,2,0,0,0.315,1.405940546077858,1.405940546077858,6.8500000000000005,1.9766688191057056,13.177792127371369,3.163896063685684,31.63896063685684,13.098313975325878,30.360779505353715,3.1241569876629387,85.37090183421289,0.0,9.841094511138257,1.4059405472666684,1.1888103834678532e-09
14,2,0,0,0.315,1.4045835878865889,1.4045835878865889,6.8500000000000005,1.972855055360363,13.152367035735752,3.1511835178678758,31.511835178678755,13.086392252519055,30.448858542481283,3.118196126259527,85.53593395729914,0.0,9.82231779771751,1.4045835890409373,1.1543483946496735e-09
15,2,0,0,0.315,1.4034581441660605,1.4034581441660605,6.8500000000000005,1.9696947624260428,13.131298416173617,3.1406492080868085,31.406492080868084,13.076496035036552,30.52216881449268,3.1132480175182757,85.67317280062221,0.0,9.806731255182568,1.4034581452230959,1.0570353481398342e-09
16,2,0,0,0.315,1.4025239528931641,1.4025239528931641,6.8500000000000005,1.9670734384390665,13.113822922927108,3.1319114614635537,31.319114614635534,13.068275677865994,30.58319995056169,3.109137838932997,85.7873409735676,0.0,9.79378419263894,1.4025239537931888,9.000247214174806e-10
17,2,0,0,0.315,1.4017479889707432,1.4017479889707432,6.8500000000000005,1.9648974245835227,13.09931616389015,3.1246580819450744,31.24658081945074,13.06144359110683,30.634017794438517,3.1057217955534147,85.8823456748963,0.0,9.783023655993256,1.4017479896610445,6.903013716197393e-10
18,2,0,0,0.315,1.401103091451489,1.401103091451489,6.8500000000000005,1.9630898728749195,13.087265819166129,3.1186329095830643,31.18632909583064,13.055762705189334,30.67633781054808,3.102881352594667,85.96142348153823,0.0,9.7740762606732,1.4011030918893803,4.378912787927902e-10
