period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.1,0,1.4530939592231784,1.5984033551454964,10,2.5548932857403797,17.032621904935862,3.516310952467931,35.16310952467931,16.04103707932324,25,3.0205185396616194,79.92016775727481,11.613151298819906,0.0,1.4530939592292054,6.026956711480125e-12
1,2,0,0.095,0,1.4453401178922796,1.582647429092046,10,2.504772884811663,16.69848589874442,3.3492429493722096,33.49242949372209,15.892299355481347,25.52051853966162,2.9461496777406735,80.77996611178271,11.091679945617145,0.0,1.4453401178822847,-9.994893801490434e-12
2,2,0,0.09025,0,1.440061265117658,1.5700267942945267,10,2.4649841348027484,16.433227565351654,3.216613782675827,32.166137826758266,15.771371373991888,25.91461636343613,2.885685686995944,81.37328410891624,10.575721930074973,0.0,1.440061265015711,-1.019471174146247e-10
3,2,0,0.0857375,0,1.4366369994999595,1.5598106642445873,10,2.4330093082911404,16.220062055274266,3.110031027637133,31.100310276371328,15.672092945287925,26.208840414088463,2.8360464726439627,81.76165755075942,10.070882996122304,0.0,1.4366369992584558,-2.4150370592224135e-10
4,2,0,0.081450625,0,1.4346176211132091,1.5514681229888931,10,2.407053336650679,16.04702224433786,3.02351112216893,30.2351112216893,15.589897578789977,26.424002845323578,2.7949487893949883,81.99199619257469,9.58080590489153,0.0,1.4346176207545298,-3.5867930847643947e-10
5,2,0,0.07737809375,0,1.433669370065549,1.5446039729889844,10,2.3858014333733553,15.9053428891557,2.9526714445778497,29.526714445778495,15.521328878957798,26.576551350186207,2.760664439478899,82.10049360768674,9.107785658186783,0.0,1.4336693696838874,-3.81661591219995e-10
6,2,0,0.0735091890625,0,1.4335398894309417,1.538918244191756,10,2.3682693623062367,15.788462415374909,2.8942312076874543,28.942312076874543,15.463726777428116,26.679560654646487,2.731863388714058,82.11532527691205,8.65317787833011,0.0,1.433539889163367,-2.6757462912030405e-10
7,2,0,0.06983372960937499,0,1.434035574821188,1.5341796274034754,10,2.3537071291398663,15.69138086093244,2.8456904304662203,28.456904304662203,15.415016431736099,26.743467977895897,2.7075082158680495,82.0585674756102,8.217677496104693,0.0,1.4340355748066094,-1.4578560580957856e-11
8,2,0,0.06634204312890625,0,1.4350062141480358,1.5302074582972933,10,2.3415348654286627,15.610232436191083,2.8051162180955416,28.051162180955416,15.373561767356648,26.776629395974357,2.686780883678324,81.94759601956503,7.80151309610333,0.0,1.4350062144901086,3.420728145187013e-10
9,2,0,0.06302494097246093,0,1.436334265024655,1.5268591472945572,10,2.3312988556770624,15.541992371180413,2.7709961855902066,27.709961855902066,15.338061167031485,26.785747340055245,2.6690305835157426,81.79612668656841,7.404584738435591,0.0,1.436334265768054,7.43398897995462e-10
