period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.08433577508771,25,3.617167887543855,75.0,0.0,11.394078845763143,1.5,0.0
1,2,0,0,0.29924999999999996,1.478299970852039,1.478299970852039,7.0075,2.1853708038211392,14.569138692140926,3.780819346070463,37.80819346070463,13.94698614135087,26.117167887543854,3.4697430706754346,77.21801705378778,0.0,10.383206138996238,1.4782999708594387,7.399636459126668e-12
2,2,0,0,0.28428749999999997,1.4624568761854952,1.4624568761854952,7.157125,2.138780114702237,14.258534098014913,3.5507045490074565,35.50704549007456,13.853663258732361,26.975194169464903,3.3482691293661806,78.90011639914566,0.0,9.51871060114688,1.462456876176029,-9.466205597163935e-12
3,2,0,0,0.27007312499999997,1.450882425729491,1.450882425729491,7.299268750000001,2.105059813290692,14.03373208860461,3.3672316693023046,33.67231669302304,13.79293263283998,27.62594388188459,3.2468319414199893,80.16399294483101,0.0,8.768820487691134,1.45088242563886,-9.063105821383033e-11
4,2,0,0,0.25656946875,1.4425029580628652,1.4425029580628652,7.4343053125,2.080814784020116,13.872098560134106,3.2188966238170527,32.18896623817052,13.756812714475286,28.110181435116125,3.161253700987643,81.0980397436777,0.0,8.110811826463708,1.4425029578333661,-2.2949908640157446e-10
5,2,0,0,0.2437409953125,1.4365613431954107,1.4365613431954107,7.562590046875,2.0637084927634026,13.758056618422682,3.097733285773841,30.977332857738407,13.739519837626464,28.460416992592158,3.088464895375732,81.77026972555936,0.0,7.527855075865971,1.4365613428200277,-3.753830579711348e-10
6,2,0,0,0.23155394554687497,1.4325055208055857,1.4325055208055857,7.684460544531251,2.0520720671384822,13.68048044758988,2.998009951529314,29.98009951529314,13.73673932050703,28.702840188708677,3.02613938798789,82.23395406625124,0.0,7.007145150634014,1.4325055203399548,-4.6563086719686453e-10
7,2,0,0,0.21997624826953124,1.4299220497989231,1.4299220497989231,7.800237517304688,2.044677068501154,13.63118045667436,2.9154714696848356,29.154714696848355,13.745178151444605,28.8586955578257,2.9724703170699587,82.5313702131384,0.0,6.5387286844159345,1.429922049346503,-4.5242010138224487e-10
8,2,0,0,0.2089774358560547,1.4284945749359166,1.4284945749359166,7.910225641439453,2.040596750621345,13.603978337475631,2.846876348018089,28.46876348018089,13.762277805660144,28.94529631911309,2.9260260821103454,82.6963975235312,0.0,6.114734278873577,1.428494574620129,-3.1578761827688595e-10
9,2,0,0,0.19852856406325192,1.4279768176789085,1.4279768176789085,8.014714359367481,2.0391177918283825,13.594118612189215,2.789702126410867,27.897021264108666,13.786022725887822,28.976792769312127,2.8856541832601703,82.75637665052707,0.0,5.728847813857576,1.4279768176140013,-6.490719073326545e-11
10,2,0,0,0.18860213586008936,1.4281744043943956,1.4281744043943956,8.113978641399108,2.0396821293672867,13.597880862448577,2.7419511105247345,27.419511105247345,13.814808342942616,28.964767675641085,2.850414850771754,82.7334796471615,0.0,5.375943289428707,1.4281744046623108,2.6791524554425905e-10
11,2,0,0,0.17917202906708488,1.4289322706393701,1.4289322706393701,8.208279709329151,2.0418474340745862,13.612316227163907,2.702018258917378,27.02018258917378,13.847347465016725,28.91870575884873,2.819533877843787,82.6457437678871,0.0,5.051816059166575,1.42893227127595,6.365798999041772e-10
12,2,0,0,0.17021342761373062,1.4301256957245916,1.4301256957245916,8.297865723862694,2.0452595055717473,13.635063370478314,2.6685988233078097,26.685988233078096,13.882602150694648,28.846369060807646,2.792368213415977,82.50786724443174,0.0,4.752985647651627,1.4301256967156124,9.910208209618077e-10
13,2,0,0,0.1617027562330441,1.4316537667008253,1.4316537667008253,8.38297243766956,2.0496325077086612,13.66421671805774,2.6406221401940897,26.406221401940897,13.9197329677271,28.754100368142858,2.76838026502877,82.33183220029062,0.0,4.476547191563172,1.4316537679864276,1.2856022912899334e-09
14,2,0,0,0.15361761842139188,1.4334345087559306,1.4334345087559306,8.463823815786082,2.054734490892356,13.69822993928237,2.6172030617481443,26.172030617481443,13.958060405177505,28.647070596357345,2.747118294695712,82.12739913517191,0.0,4.220057699529906,1.4334345102410928,1.4851622154310462e-09
