period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.365958359103532,25,3.7579791795517656,75.0,0.0,11.837634415588061,1.5,0.0
1,2,0,0,0.315,1.4756527179124905,1.4756527179124905,6.8500000000000005,2.1775509438825202,14.517006292550132,3.8335031462750657,38.335031462750656,14.270852112969063,26.257979179551764,3.7104260564845313,77.4953166863903,0.0,11.687842077926273,1.4756527179259398,1.3449241720309146e-11
2,2,0,0,0.315,1.4558767822910572,1.4558767822910572,6.8500000000000005,2.1195772052141626,14.130514701427748,3.6402573507138736,36.40257350713873,14.233928986031906,27.34260731808112,3.6919644930159525,79.61493432339171,0.0,11.62968815300025,1.4558767823493626,5.830536053963442e-11
3,2,0,0,0.315,1.4392653130501496,1.4392653130501496,6.8500000000000005,2.071484641349345,13.809897608995632,3.4799488044978157,34.799488044978155,14.249441128722532,28.300311079288964,3.699720564361266,81.4633121698989,0.0,11.654119777737987,1.4392653130783262,2.8176572186566773e-11
4,2,0,0,0.0,1.424817092021023,1.424817092021023,10.0,2.030103745715244,13.53402497143496,1.7670124857174798,17.670124857174798,14.31537265668157,29.170000535721332,2.1576863283407848,83.12383067511631,0.0,0.0,1.424817091971404,-4.9618975594967196e-11
5,2,0,0,0.0,1.437399041984155,1.437399041984155,10.0,2.0661160058969665,13.774106705979776,1.8870533529898879,18.87053352989888,14.432574809468562,28.410686810489985,2.216287404734281,81.67498800702035,0.0,0.0,1.4373990419724534,-1.1701528634944225e-11
6,2,0,0,0.0,1.4480928537249065,1.4480928537249065,10.0,2.0969729130091435,13.979819420060954,1.989909710030477,19.89909710030477,14.531345024991882,27.785905534175267,2.265672512495941,80.47314247662906,0.0,0.0,1.4480928537325581,7.651657085716579e-12
7,2,0,0,0.0,1.4571145365018092,1.4571145365018092,10.0,2.123182772484882,14.15455181656588,2.0772759082829397,20.772759082829396,14.614073865731521,27.27298749325368,2.3070369328657607,79.47973306050395,0.0,0.0,1.4571145365201188,1.8309576077513157e-11
8,2,0,0,0.0,1.4646768034194027,1.4646768034194027,10.0,2.1452781384748794,14.301854256499194,2.150927128249597,21.50927128249597,14.683002173106368,26.852725676794073,2.3415010865531842,78.66112881476971,0.0,0.0,1.464676803445086,2.568345536246852e-11
9,2,0,0,0.0,1.4709810017639247,1.4709810017639247,10.0,2.163785107550399,14.425234050335991,2.2126170251679955,22.126170251679955,14.740174360597445,26.50895419566785,2.3700871802987225,77.98833599691498,0.0,0.0,1.470981001795474,3.1549429735378e-11
10,2,0,0,0.0,1.4762119999745165,1.4762119999745165,10.0,2.1792018688687618,14.528012459125076,2.264006229562538,22.64006229562538,14.787415407136663,26.22814595639979,2.3937077035683316,77.43660759584093,0.0,0.0,1.4762120000107612,3.624478495112271e-11
11,2,0,0,0.0,1.4805355152453952,1.4805355152453952,10.0,2.1919854119029476,14.613236079352982,2.306618039676491,23.066180396764906,14.826325849338405,25.99903906432814,2.4131629246692023,76.98500139398044,0.0,0.0,1.4805355152851691,3.977396190180116e-11
12,2,0,0,0.0,1.4840972876383385,1.4840972876383385,10.0,2.202544759175473,14.683631727836486,2.341815863918243,23.41815863918243,14.858289314836222,25.812298082564528,2.429144657418111,76.6159231440926,0.0,0.0,1.4840972876805,4.216160753856002e-11
