period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,15.531617528062819,25,2.7658087640314095,75.0,0.0,0.0,1.5,0.0
1,2,0,0.0,0,1.4947211981288269,1.4947211981288269,10,2.234191460135676,14.894609734237836,2.447304867118918,24.47304867118918,15.611360157272243,25.26580876403141,2.8056800786361213,75.53067989493368,0.0,0.0,1.4947211981310315,2.204680882300636e-12
2,2,0,0.0,0,1.4892575637431495,1.4892575637431495,10,2.217888091166181,14.785920607774539,2.3929603038872695,23.929603038872695,15.718872720727406,25.54490796626439,2.859436360363703,76.08589480776375,0.0,0.0,1.4892575637437584,6.088463067044358e-13
3,2,0,0.0,0,1.4833782255545511,1.4833782255545511,10,2.2004109600493686,14.669406400329121,2.3347032001645607,23.347032001645605,15.858815537670338,25.849853530001653,2.929407768835169,76.6902197203578,0.0,0.0,1.4833782255489711,-5.579980921766037e-12
4,2,0,0.1,0,1.4306659272826472,1.573732520010912,10,2.4766340445398956,16.51089363026597,3.2554468151329843,32.55446815132984,16.037226908271524,26.194275945836658,3.018613454135762,82.44556778820548,11.795206469005734,0.0,1.4306659272627082,-1.9938939388453036e-11
5,2,0,0.1,0,1.423471386731011,1.5658185254041121,10,2.451787654498708,16.345251029991385,3.1726255149956923,31.726255149956923,15.966176899972362,26.593461805388756,2.983088449986181,83.2810702990088,11.854822062697286,0.0,1.4234713866872697,-4.374123285799669e-11
6,2,0,0.1,0,1.4177414967850086,1.5595156464635096,10,2.4320890515644984,16.213927010429988,3.1069635052149938,31.069635052149938,15.90931578046951,26.91720407483606,2.9546578902347553,83.95560182751635,11.902734059842922,0.0,1.4177414967078998,-7.710876381850085e-11
7,2,0,0.1,0,1.4131549870871536,1.554470485795869,10,2.416378491210445,16.109189941402963,3.0545949707014817,30.545949707014817,15.863624095975439,27.180141557587213,2.9318120479877194,84.50145570204617,11.941365354147075,0.0,1.4131549869681266,-1.1902701047006303e-10
8,2,0,0.1,0,1.4094690260813407,1.550415928689475,10,2.403789551934047,16.02526367956031,3.0126318397801555,30.126318397801555,15.826789219161311,27.393939449816212,2.9133946095806555,84.94400014510009,11.97259371559675,0.0,1.4094690259147213,-1.6661938495587947e-10
9,2,0,0.1,0,1.4064973817343995,1.5471471199078397,10,2.3936642106391233,15.95776140426082,2.97888070213041,29.7888070213041,15.797018050101464,27.567940114415247,2.898509025050732,85.3033182996187,11.997889384166978,0.0,1.4064973815189532,-2.1544632744507908e-10
10,2,0,0.1,0,1.4040955407281726,1.54450509480099,10,2.385495987866215,15.903306585774766,2.951653292887383,29.51653292887383,15.772906546977563,27.709655128024455,2.8864532734887813,85.5954070408243,12.018412933283424,0.0,1.404095540468028,-2.6014457255030266e-10
11,2,0,0.1,0,1.4021502891637756,1.5423653180801533,10,2.3788907744164924,15.85927182944328,2.92963591472164,29.2963591472164,15.753346541157985,27.825142888710793,2.8766732705789924,85.83307072434428,12.035086493595415,0.0,1.4021502888685613,-2.952142974521621e-10
12,2,0,0.1,0,1.400572244202499,1.540629468622749,10,2.3735391595888142,15.82359439725876,2.9117971986293796,29.117971986293796,15.73745774791519,27.919301870418707,2.868728873957595,86.0265984098826,12.04864659960364,0.0,1.4005722438867092,-3.157898387229352e-10
13,2,0,0.1,0,1.3992903917103081,1.539219430881339,10,2.369196456402673,15.794643042684484,2.897321521342242,28.97321521342242,15.724537250513658,27.99610055733443,2.862268625256829,86.18428393351407,12.059684042459931,0.0,1.399290391392045,-3.182631935771951e-10
14,2,0,0.1,0,1.3982480210579533,1.5380728231637488,10,2.3656680093549047,15.771120062366029,2.8855600311830143,28.85560031183014,15.714021381688035,28.058759126857815,2.8570106908440174,86.3128297294356,12.068674336109543,0.0,1.3982480207572545,-3.0069879919381037e-10
15,2,0,0.1,0,1.397399654247825,1.5371396196726077,10,2.362798210367249,15.751988069114992,2.875994034557496,28.759940345574957,15.705456579586336,28.10989390501605,2.852728289793168,86.41766325238746,12.076001274979122,0.0,1.3973996539848192,-2.630058393293666e-10
16,2,0,0.1,0,1.3967086963872908,1.53637956602602,10,2.3604621709023017,15.736414472682009,2.8682072363410045,28.682072363410043,15.698476856157038,28.151632804307617,2.849238428078519,86.50318678161202,12.081975324309164,0.0,1.3967086961804014,-2.0688939450508315e-10
17,2,0,0.1,0,1.3961456184464593,1.5357601802911054,10,2.3585593313677684,15.72372887578512,2.86186443789256,28.6186443789256,15.692786213678293,28.185707951955376,2.8463931068391464,86.57297585185486,12.08684809114383,0.0,1.3961456183108405,-1.3561884948387615e-10
18,2,0,0.1,0,1.395686538728169,1.5352551926009859,10,2.3570085064082904,15.713390042721933,2.8566950213609665,28.566950213609665,15.68814481436227,28.213530263598983,2.8440724071811347,86.6299376775908,12.09082378674737,0.0,1.3956865386745065,-5.3662407850652016e-11
19,2,0,0.1,0,1.3953121069523062,1.534843317647537,10,2.3557440097272977,15.704960064848649,2.8524800324243245,28.524800324243245,15.68435803010832,28.23624964442022,2.8421790150541604,86.67643816433203,12.094068355819543,0.0,1.395312106986051,3.374478474427178e-11
20,2,0,0.1,0,1.3950066206651988,1.5345072827317188,10,2.354712600756683,15.698084005044553,2.8490420025222765,28.490420025222765,15.681267724897271,28.254803695032358,2.8406338624486356,86.71440408436446,12.096716780472576,0.0,1.3950066207862624,1.2106360358643542e-10
21,2,0,0.1,0,1.3947573217873663,1.534233053966103,10,2.3538710638821554,15.692473759214367,2.8462368796071837,28.462368796071836,15.678745282875182,28.26995718797776,2.839372641437591,86.74540550400421,12.098878945812398,0.0,1.3947573219902425,2.0287616031566813e-10
22,2,0,0.1,0,1.3945538340289885,1.5340092174318873,10,2.3531842791659914,15.68789519443994,2.8439475972199704,28.439475972199702,15.676686011424305,28.282334110617576,2.8383430057121526,86.77072243235128,12.100644364950062,0.0,1.3945538343032555,2.742670535127445e-10
23,2,0,0.1,0,1.3943877112659362,1.5338264823925298,10,2.3526236780886416,15.684157853924274,2.842078926962137,28.42078926962137,15.675004633971962,28.29244370526797,2.837502316985981,86.79139881347969,12.102085994909702,0.0,1.3943877115970493,3.311131369088116e-10
24,2,0,0.1,0,1.3942520738580355,1.5336772812438393,10,2.3521660030034943,15.68110668668996,2.84055334334498,28.405533433449797,15.673631650979118,28.300701651727152,2.836815825489559,86.80828633302787,12.103263324788626,0.0,1.3942520742283304,3.702949058492777e-10
25,2,0,0.1,0,1.3941413150287427,1.533555446531617,10,2.3517923075867873,15.678615383911913,2.8393076919559563,28.39307691955956,15.672510395622496,28.307447312043998,2.836255197811248,86.82208000558371,12.104224879251518,0.0,1.3941413154185514,3.898086298192993e-10
26,2,0,0.1,0,1.3940508633043813,1.5334559496348197,10,2.351487149470427,15.676580996469509,2.8382904982347545,28.382904982347544,15.671594647379084,28.312957778650848,2.835797323689542,86.83334711486319,12.105010250908403,0.0,1.3940508636931772,3.8879588437623624e-10
27,2,0,0.1,0,1.3939769899727126,1.533374688969984,10,2.3512379367737952,15.674919578491966,2.837459789245983,28.374597892459832,15.670846695015523,28.31745932447531,2.8354233475077617,86.842550768175,12.105651752137307,0.0,1.3939769903402162,3.6750358312076514e-10
