period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,15.266458120599067,25,2.6332290602995334,75.0,0.0,0.0,1.5,0.0
1,2,0,0.0,0,1.4973448463869,1.4973448463869,10,2.242041589001409,14.946943926676058,2.473471963338029,24.734719633380287,15.306426838688926,25.133229060299534,2.653213419344463,75.26622201300195,0.0,0.0,1.4973448463861736,-7.263079027097774e-13
2,2,0,0.0,0,1.4945770571604917,1.4945770571604917,10,2.233760579790516,14.891737198603437,2.4458685993017184,24.458685993017184,15.36034927549086,25.273119573614046,2.68017463774543,75.5452493551946,0.0,0.0,1.4945770571601438,-3.4794389591752406e-13
3,2,0,0.0,0,1.4915758694098566,1.4915758694098566,10,2.22479857420577,14.83199049470513,2.4159952473525648,24.159952473525646,15.430641087023977,25.42598225399807,2.7153205435119885,75.84956317221352,0.0,0.0,1.4915758694113102,1.453503983839255e-12
4,2,0,0.05,0,1.4642059460164278,1.5374162433172494,10,2.3636487052157236,15.757658034771488,2.878829017385744,28.78829017385744,15.520438675871805,25.598704572110254,2.7602193379359026,78.71172843408368,5.762509039720783,0.0,1.4642059460222772,5.8493210275401e-12
5,2,0,0.05,0,1.4604058753113256,1.533426169076892,10,2.351395816009833,15.67597210673222,2.8379860533661097,28.379860533661095,15.484855772036855,25.799053452835132,2.7424278860184277,79.12188740398187,5.777503461524814,0.0,1.460405875324968,1.3642420526593924e-11
6,2,0,0.05,0,1.4573520560685707,1.5302196588719992,10,2.3415722043983376,15.610481362655582,2.805240681327791,28.05240681327791,15.456188321832554,25.961575993570044,2.728094160916277,79.45382792132047,5.789609974182739,0.0,1.457352056093588,2.5017321547693427e-11
7,2,0,0.05,0,1.4548916360099255,1.527636217810422,10,2.3336724139661307,15.557816093107535,2.7789080465537674,27.789080465537673,15.433044365709101,26.09351255512932,2.7165221828545505,79.72278965821302,5.799400993655636,0.0,1.4548916360498232,3.98976407467444e-11
8,2,0,0.05,0,1.452905235347903,1.5255504971152982,10,2.3273043192487335,15.515362128324888,2.757681064162444,27.57681064162444,15.414328606599335,26.20068348247094,2.7071643032996677,79.94093142288826,5.807329889145102,0.0,1.4529052354054788,5.757572196785077e-11
9,2,0,0.05,0,1.4512988846325725,1.5238638288642012,10,2.3221609689206635,15.481073126137755,2.7405365630688774,27.405365630688774,15.399173578340505,26.28777943752351,2.6995867891702527,80.11799245200439,5.813757654229741,0.0,1.4512988847093125,7.673994772972037e-11
10,2,0,0.05,0,1.4499981452912534,1.522498052555816,10,2.3180003200362522,15.453335466908346,2.726667733454173,27.26667733454173,15.38688864617092,26.35858828294141,2.69344432308546,80.2617986577977,5.818972959577334,0.0,1.449998145386881,9.562772795845831e-11
11,2,0,0.05,0,1.448943745692532,1.5213909329771587,10,2.3146303709451095,15.43086913963406,2.71543456981703,27.1543456981703,15.376921623060309,26.41617377773273,2.6884608115301543,80.37865453878311,5.823207439057523,0.0,1.4489437458047878,1.122557602428742e-10
12,2,0,0.05,0,1.448088292859223,1.5204927075021841,10,2.3118980735673222,15.412653823782145,2.7063269118910727,27.063269118910725,15.368829495574246,26.463017211489614,2.684414747787123,80.47364937714948,5.826647477335403,0.0,1.4480882929838983,1.2467538113014598e-10
13,2,0,0.05,0,1.4473937626429918,1.5197634507751414,10,2.309680946311966,15.397872975413103,2.6989364877065514,26.989364877065512,15.362255846343063,26.501130238127775,2.6811279231715313,80.55089828027702,5.829443387308154,0.0,1.4473937627742002,1.3120837749625025e-10
14,2,0,0.05,0,1.446829563068456,1.5191710412218788,10,2.3078806524871673,15.385871016581113,2.6929355082905566,26.929355082905566,15.356913276982556,26.532145137486527,2.6784566384912782,80.61373310873084,5.831716612551109,0.0,1.4468295631990886,1.3063261583567964e-10
15,2,0,0.05,0,1.4463710261347886,1.518689577441528,10,2.3064180326295274,15.37612021753018,2.6880601087650904,26.880601087650902,15.352569616042777,26.557387262229156,2.6762848080213884,80.66485447845163,5.833565417250575,0.0,1.446371026257087,1.2229839363442352e-10
16,2,0,0.05,0,1.4459982241677067,1.518298135376092,10,2.305229227886518,15.368194852576783,2.6840974262883917,26.840974262883915,15.349037025819669,26.57793334402763,2.6745185129098346,80.70645327677443,5.835069405854491,0.0,1.445998224273883,1.0617617896002685e-10
17,2,0,0.05,0,1.4456950348541608,1.517979786596869,10,2.304262632516676,15.361750883444504,2.680875441722252,26.80875441722252,15.346163351806103,26.594658522534704,2.6730816759030516,80.74030813730766,5.836293129335035,0.0,1.445695034936995,8.283418395649278e-11
18,2,0,0.05,0,1.4454483987218774,1.5177208186579714,10,2.303476483387823,15.35650988925215,2.678254944626075,26.78254944626075,15.343825222060344,26.608274346184288,2.671912611030172,80.76786384753343,5.837288973330191,0.0,1.4454483987752416,5.33642019462377e-11
19,2,0,0.05,0,1.4452477268092006,1.5175101131496607,10,2.3028369435114957,15.352246290076636,2.676123145038318,26.76123145038318,15.341922521981575,26.61935952259603,2.6709612609907873,80.7902945622124,5.8380994782141595,0.0,1.4452477268284711,1.9270585127628692e-11
20,2,0,0.05,0,1.4450844263938578,1.5173386477135509,10,2.3023165718451875,15.34877714563458,2.67438857281729,26.7438857281729,15.340373956767317,26.628384831327214,2.6701869783836587,80.80855486152413,5.838759207489109,0.0,1.4450844263761953,-1.7662538098761615e-11
21,2,0,0.05,0,1.4449515200881387,1.5171990960925457,10,2.3018930971840375,15.345953981226915,2.6729769906134573,26.72976990613457,15.33911347843723,26.63573332657815,2.6695567392186152,80.82342105369293,5.839296255512863,0.0,1.444951520032628,-5.551070714204798e-11
22,2,0,0.05,0,1.4448433391495463,1.5170855061070236,10,2.301548432840004,15.34365621893336,2.67182810946668,26.718281094666796,15.338087403018779,26.64171673313895,2.6690437015093895,80.83552462730813,5.839733466221263,0.0,1.444843339057206,-9.234035758254322e-11
23,2,0,0.05,0,1.4447552760357079,1.5169930398374933,10,2.3012678829153987,15.341785886102656,2.670892943051328,26.70892943051328,15.337252080631593,26.646588761334442,2.6686260403157966,80.84537937271264,5.84008941959175,0.0,1.4447552759093834,-1.2632450641092419e-10
24,2,0,0.05,0,1.4446835844201213,1.5169177636411275,10,2.3010395016499996,15.340263344333328,2.670131672166664,26.70131672166664,15.336572009810935,26.650555925516795,2.6682860049054673,80.85340338865547,5.840379231004438,0.0,1.4446835842642818,-1.5583956347597905e-10
25,2,0,0.05,0,1.444625217340728,1.5168564782077643,10,2.3008535754808617,15.339023836539075,2.6695119182695377,26.695119182695375,15.336018309632578,26.653786337870585,2.668009154816289,80.85993695072919,5.840615199580236,0.0,1.4446252171611957,-1.7953216691068974e-10
26,2,0,0.05,0,1.4445776960610242,1.5168065808640754,10,2.300702203752567,15.338014691683778,2.669007345841889,26.69007345841889,15.335567480596605,26.656416858899817,2.6677837402983027,80.86525702767065,5.840807334420751,0.0,1.4445776958646592,-1.963649243208465e-10
27,2,0,0.05,0,1.4445390037168513,1.5167659539026939,10,2.300578958918349,15.337193059455657,2.6685965297278287,26.685965297278287,15.335200398933532,26.65855891330814,2.667600199466766,80.86958907962998,5.840963782003992,0.0,1.4445390035112124,-2.0563883929014537e-10
28,2,0,0.05,0,1.444507498998665,1.5167328739485983,10,2.300478610916375,15.33652407277583,2.6682620363879153,26.682620363879153,15.334901499855217,26.660303221444092,2.6674507499276086,80.87311665080395,5.841091173474005,0.0,1.4445074987916735,-2.0699153502334866e-10
29,2,0,0.05,0,1.4444818460513602,1.5167059383539283,10,2.3003969034380702,15.3359793562538,2.6679896781269,26.679896781268997,15.334658113917126,26.66172364922729,2.667329056958563,80.8759891710688,5.841194906952764,0.0,1.444481845850979,-2.0038126713473048e-10
30,2,0,0.05,0,1.4444609575157967,1.5166840053915867,10,2.3003303722106665,15.335535814737774,2.667767907368887,26.67767907368887,15.334459927566627,26.662880341263126,2.6672299637833135,80.87832830252711,5.841279377107264,0.0,1.4444609573297387,-1.860580578494364e-10
31,2,0,0.05,0,1.4444439482292,1.51666614564066,10,2.300276197332496,15.335174648883303,2.6675873244416515,26.675873244416515,15.334298544490958,26.66382227092013,2.667149272245479,80.88023310336804,5.84134816187635,0.0,1.4444439480646787,-1.6452128548394285e-10
32,2,0,0.05,0,1.4444300975771067,1.5166516024559622,10,2.300232083232238,15.334880554881583,2.6674402774407913,26.674402774407913,15.334167128832107,26.664589316073595,2.6670835644160533,80.88178423010629,5.841404174385146,0.0,1.4444300974406281,-1.3647860619414587e-10
33,2,0,0.05,0,1.4444188188717997,1.5166397598153898,10,2.300196161052883,15.334641073685885,2.6673205368429427,26.673205368429425,15.334060114924688,26.66521394888229,2.667030057462344,80.88304735771763,5.841449786559316,0.0,1.4444188187690055,-1.027942175824137e-10
34,2,0,0.05,0,1.4444096344402586,1.5166301161622715,10,2.300166909250385,15.334446061669231,2.6672230308346156,26.672230308346155,15.33397297111051,26.665722611456406,2.666986485555255,80.88407596352808,5.841486929725885,0.0,1.4444096343758133,-6.444533795502139e-11
35,2,0,0.05,0,1.4444021553533541,1.516622263121022,10,2.3001430889943304,15.3342872599622,2.6671436299811004,26.671436299811003,15.333902007526705,26.666136835866023,2.6669510037633524,80.88491359341195,5.841517176494702,0.0,1.4444021553308781,-2.2476021044326444e-11
36,2,0,0.05,0,1.444396064929147,1.5166158681756043,10,2.300123691602042,15.334157944013612,2.6670789720068058,26.670789720068058,15.333844219661382,26.666474156042774,2.666922109830691,80.88559570669825,5.841541807410244,0.0,1.4443960649511915,2.2044588376957108e-11
37,2,0,0.05,0,1.444391105305982,1.516610660571281,10,2.3001078957584573,15.334052638389712,2.667026319194856,26.67026319194856,15.333797161008548,26.666748850269187,2.6668985805042738,80.8861511781904,5.841561865210659,0.0,1.4443911053740375,6.805556118649747e-11
38,2,0,0.05,0,1.4443870665130545,1.5166064198387073,10,2.3000950326959813,15.333966884639873,2.6669834423199363,26.66983442319936,15.333758839401373,26.666972545746543,2.6668794197006864,80.88660352108352,5.841578199001116,0.0,1.4443870666275924,1.1453793469229367e-10
39,2,0,0.05,0,1.4443837775731911,1.5166029664518508,10,2.3000845578505538,15.333897052337022,2.666948526168511,26.66948526168511,15.3337276326156,26.667154710872573,2.6668638163078002,80.88697188267959,5.841591500218063,0.0,1.4443837777337287,1.6053758322698286e-10
40,2,0,0.05,0,1.4443810992595016,1.5166001542224767,10,2.3000760277876404,15.333840185250933,2.6669200926254666,26.669200926254664,15.33370221965739,26.667303056093115,2.666851109828695,80.88727185513669,5.841602331911224,0.0,1.4443810994646848,2.051832037608392e-10
41,2,0,0.05,0,1.444378918198152,1.5165978641080595,10,2.3000690814171283,15.333793876114186,2.666896938057093,26.66896938057093,15.33368152481836,26.6674238603125,2.66684076240918,80.88751613562849,5.841611152585732,0.0,1.4443789184458542,2.477023031133285e-10
42,2,0,0.05,0,1.4443771420668894,1.516595999170234,10,2.3000634246991605,15.333756164661068,2.666878082330534,26.66878082330534,15.333664672123987,26.66752223669043,2.6668323360619937,80.88771506389591,5.841618335615543,0.0,1.4443771423543168,2.874274152020462e-10
