period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0.1,0,1.4530939592274086,1.5984033551501495,10,2.554893285755255,17.03262190503503,3.5163109525175145,35.163109525175145,15.993639186299749,25,2.9968195931498744,79.92016775750747,11.613151298887521,0.0,1.4530939592270904,-3.1818991885756986e-13
1,2,0,0.1,0,1.4435938721625998,1.58795325937886,10,2.521595553971945,16.81063702647963,3.4053185132398145,34.05318513239814,15.837791778489459,25.496819593149873,2.9188958892447294,80.97551555347424,11.68957580482027,0.0,1.4435938721617985,-8.01358979174438e-13
2,2,0,0.1,0,1.4366922692618047,1.5803614961879853,10,2.4975424586335273,16.650283057556845,3.3251415287784223,33.25141528778422,15.691864991290936,25.866033523079615,2.845932495645468,81.75536687796537,11.745730356423547,0.0,1.4366922692657462,3.941513782024231e-12
3,2,0,0.1,0,1.431922755991662,1.5751150315908284,10,2.4809873627433765,16.53991575162251,3.2699578758112544,32.699578758112544,15.54810228135105,26.12536266641712,2.7740511406755246,82.30090288327091,11.784853567721543,0.0,1.4319227560065118,1.484967704357132e-11
4,2,0,0.05,0,1.4513154823948868,1.5238812565146311,10,2.322214083956611,15.481427226377406,2.740713613188703,27.40713613188703,15.39933026081033,26.286877540450934,2.6996651304051653,80.11615995237722,5.813691166445513,0.0,1.4513154824185583,2.3671509197242813e-11
5,2,0,0.05,0,1.4500115931816635,1.5225121728407467,10,2.318043316448252,15.45362210965501,2.726811054827505,27.268110548275047,15.387015715975274,26.357854916811007,2.693507857987637,80.26030992163017,5.818918992935852,0.0,1.4500115932210218,3.93582944013815e-11
6,2,0,0.05,0,1.4489546519279233,1.5214023845243194,10,2.314665215636285,15.431101437575231,2.7155507187876156,27.155507187876154,15.377024756923316,26.415577283117543,2.688512378461658,80.37744453424294,5.823163608398497,0.0,1.4489546519857617,5.783840073547708e-11
7,2,0,0.05,0,1.4480971446691948,1.5205020019026547,10,2.3119263377899806,15.412842251933201,2.7064211259666004,27.064211259666003,15.368913254825529,26.46253193326745,2.6844566274127644,80.47266555989216,5.826611861059945,0.0,1.448097144746721,7.75262076757599e-11
8,2,0,0.05,0,1.4474009515315602,1.5197709991081383,10,2.309703889730149,15.398025931534324,2.699012965767162,26.99012965767162,15.36232390525938,26.50073536735347,2.68116195262969,80.55009813268632,5.829414434160537,0.0,1.4474009516279873,9.642708853618842e-11
9,2,0,0.05,0,1.4468354044045906,1.5191771746248202,10,2.3078992879010514,15.385995252673673,2.6929976263368367,26.929976263368367,15.356968601318139,26.531823783247816,2.6784843006590693,80.61308218535605,5.831693068197506,0.0,1.4468354045169949,1.1240430808356905e-10
10,2,0,0.05,0,1.446375774473103,1.518694563196758,10,2.306433176283392,15.37622117522261,2.6881105876113054,26.881105876113054,15.35261460361481,26.557125705582102,2.6763073018074053,80.66432484640082,5.833546266103147,0.0,1.4463757745965597,1.234568003383174e-10
11,2,0,0.05,0,1.446002085314598,1.518302189580328,10,2.305241538884418,15.368276925896119,2.6841384629480594,26.841384629480594,15.34907361787364,26.5777204368313,2.6745368089368204,80.70602226658959,5.835053824746746,0.0,1.4460020854425562,1.2795808856935764e-10
12,2,0,0.05,0,1.445698175426774,1.5179830841981128,10,2.304272643911615,15.36181762607743,2.680908813038715,26.80908813038715,15.346193121670272,26.594485202084993,2.673096560835136,80.7399573394441,5.836280450483495,0.0,1.4456981755516018,1.2482792577372948e-10
13,2,0,0.05,0,1.4454509537579538,1.5177235014458517,10,2.303484626841056,15.35656417894037,2.6782820894701853,26.782820894701853,15.3438494460092,26.60813324271163,2.6719247230046,80.76757830413212,5.837278654621399,0.0,1.4454509538715814,1.1362755181210105e-10
14,2,0,0.05,0,1.4452498058498409,1.517512296142333,10,2.302843568943176,15.35229045962117,2.676145229810585,26.761452298105848,15.341942236069526,26.619244641445068,2.670971118034763,80.7900621148276,5.838091079302559,0.0,1.445249805944417,9.457612470953336e-11
15,2,0,0.05,0,1.4450861183619579,1.5173404242800559,10,2.30232196315438,15.348813087695863,2.6744065438479314,26.744065438479314,15.340390002536783,26.628291295335327,2.6701950012683913,80.80836562383405,5.838752370526011,0.0,1.445086118430456,6.849809608411306e-11
16,2,0,0.05,0,1.4449528972117658,1.5172005420723542,10,2.3018974848646456,15.345983232430969,2.6729916162154845,26.729916162154844,15.339126539762924,26.635657167070185,2.669563269881462,80.82326698466454,5.8392906895805545,0.0,1.4449528972484902,3.672440129776078e-11
17,2,0,0.05,0,1.4448444601244195,1.5170866831306404,10,2.3015520041323283,15.343680027548853,2.6718400137744265,26.718400137744265,15.338098035862718,26.641654720244627,2.669049017931359,80.83539918529539,5.839728934741003,0.0,1.4448444601253772,9.5767838104166e-13
18,2,0,0.05,0,1.4447561885791176,1.5169939980080736,10,2.301270789992519,15.341805266616792,2.670902633308396,26.70902633308396,15.3372607371098,26.646538266151524,2.6686303685548998,80.84527723488864,5.840085730124991,0.0,1.4447561885422453,-3.687228300464085e-11
19,2,0,0.05,0,1.4446843273365675,1.5169185437033958,10,2.3010418682312315,15.34027912154154,2.67013956077077,26.7013956077077,15.336579057683753,26.650514808091273,2.6682895288418766,80.8533202232712,5.840376226984232,0.0,1.4446843272618124,-7.475509100629552e-11
20,2,0,0.05,0,1.4446258221947337,1.5168571133044704,10,2.3008555021823707,15.339036681215802,2.669518340607901,26.69518340607901,15.336024048105086,26.653752856124022,2.668012024052543,80.85986923214213,5.840612753602098,0.0,1.4446258220840023,-1.1073142403006386e-10
21,2,0,0.05,0,1.4445781885332318,1.5168070979598935,10,2.3007037724215142,15.33802514947676,2.66901257473838,26.6901257473838,15.33557215313848,26.656389594564164,2.6677860765692403,80.86520188603835,5.840805342795368,0.0,1.4445781883902247,-1.4300716166815164e-10
22,2,0,0.05,0,1.4445394047042892,1.5167663749395037,10,2.3005802361471233,15.337201574314152,2.668600787157076,26.68600787157076,15.335204203687741,26.658536711676987,2.6676021018438707,80.86954417872397,5.840962160332057,0.0,1.444539404534253,-1.7003620733646585e-10
23,2,0,0.05,0,1.4445078255080699,1.5167332167834735,10,2.300479650894343,15.336531005962284,2.668265502981142,26.682655029811418,15.33490459809378,26.66028514235316,2.6674522990468903,80.8730800886519,5.841089853049927,0.0,1.4445078253174888,-1.905811064517593e-10
24,2,0,0.05,0,1.4444821119248856,1.5167062175211299,10,2.300397750267253,15.335985001781685,2.6679925008908425,26.679925008908423,15.334660636913508,26.661708927164735,2.667330318456754,80.87595939913874,5.841193831840962,0.0,1.444482111721139,-2.0374657516697425e-10
25,2,0,0.05,0,1.4444611740208289,1.5166842327218704,10,2.3003310617871287,15.335540411914188,2.667770205957094,26.67770205957094,15.334461982183283,26.662868352905015,2.6672309910916416,80.87830405997997,5.841278501764611,0.0,1.4444611738118387,-2.0899015851227887e-10
26,2,0,0.05,0,1.4444441245379076,1.516666330764803,10,2.3002767588755706,15.335178392503801,2.6675891962519005,26.675891962519003,15.33430021772365,26.663812508706158,2.667150108861825,80.88021336356005,5.841347449218334,0.0,1.444444124331798,-2.0610957385258644e-10
27,2,0,0.05,0,1.4444302411564562,1.5166517532142791,10,2.3002325405279467,15.334883603519643,2.6674418017598214,26.674418017598214,15.334168491506631,26.66458136669737,2.6670842457533155,80.88176815705273,5.841403594212614,0.0,1.4444302409612364,-1.9521984029324813e-10
28,2,0,0.05,0,1.4444189358008324,1.516639882590874,10,2.30019653346526,15.334643556435065,2.6673217782175325,26.673217782175325,15.33406122470468,26.66520747578095,2.66703061235234,80.88303427065944,5.8414493142784085,0.0,1.4444189356241193,-1.7671308860656154e-10
