period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0.315,1.5,1.5,6.8500000000000005,2.25,14.999999999999998,4.074999999999999,40.74999999999999,14.125588363491206,25,3.6377941817456025,75.0,0.0,11.459051672498648,1.5,0.0
1,2,0,0,0.315,1.4779110082383884,1.4779110082383884,6.8500000000000005,2.18422094827221,14.561472988481396,3.855736494240698,38.55736494240698,13.994426618014888,26.1377941817456,3.5722133090074437,77.25866750454225,0.0,11.252471923373447,1.4779110082426858,4.297451283719056e-12
2,2,0,0,0.315,1.4602761166588556,1.4602761166588556,6.8500000000000005,2.1324063368842676,14.216042245895116,3.6830211229475576,36.83021122947557,13.909369662444913,27.096228072578487,3.5296848312224562,79.13594941185517,0.0,11.118507218350738,1.4602761166536948,-5.160760707667578e-12
3,2,0,0,0.315,1.4458348690827882,1.4458348690827882,6.8500000000000005,2.0904384686556434,13.936256457704287,3.5431282288521433,35.43128228852143,13.863368774927384,27.916290096543097,3.5066843874636917,80.72469127402505,0.0,11.04605582051063,1.4458348690417802,-4.100808581597448e-11
4,2,0,0,0.1575,1.433696888998787,1.433696888998787,8.425,2.0554867695248,13.703245130165332,2.6391225650826655,26.391225650826655,13.85243562251085,28.631345474352482,2.7137178112554246,82.0973418688573,0.0,4.274105552727294,1.4336968888943262,-1.0446066234237605e-10
5,2,0,0,0.1575,1.4361995847090683,1.4361995847090683,8.425,2.0626692471185,13.751128314123331,2.6630641570616653,26.630641570616653,13.87481419636268,28.48192873817266,2.7249070981813395,81.8114684509537,0.0,4.291728679635609,1.4361995845584796,-1.505886526587119e-10
6,2,0,0,0.1575,1.4382778107812666,1.4382778107812666,8.425,2.068643060985753,13.790953739905019,2.682976869952509,26.82976869952509,13.893367078698583,28.358642962536734,2.7341835393492913,81.57521383376981,0.0,4.306339074475134,1.4382778105866967,-1.9456991573463256e-10
7,2,0,0,0.1575,1.4400009272461682,1.4400009272461682,8.425,2.0736026704698243,13.82401780313216,2.6995089015660794,26.995089015660792,13.90872907951762,28.256962205632355,2.7418645397588097,81.38010355454105,0.0,4.318436650120125,1.4400009270165908,-2.29577468147113e-10
8,2,0,0,0.1575,1.4414277969750344,1.4414277969750344,8.425,2.077714093892301,13.851427292615337,2.7132136463076684,27.132136463076684,13.92143577097544,28.173130524827933,2.74821788548772,81.21906693258565,0.0,4.328443169643159,1.4414277967246942,-2.503401930198379e-10
9,2,0,0,0.1575,1.442608104170837,1.442608104170837,8.425,2.0811181422193763,13.874120948129173,2.724560474064586,27.24560474064586,13.931937042729457,28.10403535783286,2.753468521364728,81.08621833422686,0.0,4.336712921149447,1.442608103917276,-2.535609500142755e-10
