period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.924106667128376,25,2.462053333564188,75.0,0.0,0.0,1.5,0.0
1,2.0,0,0,0,1.500759702210194,1.500759702210194,10,2.25227968377803,15.01519789185353,2.507598945926765,25.07598945926765,14.912722667197636,24.96205333356419,2.456361333598818,74.92408745486954,0.0,0.0,1.5007597022092556,-9.383605004131823e-13
2,2.0,0,0,0,1.5015590485629533,1.5015590485629533,10,2.2546795763212817,15.031197175475208,2.515598587737604,25.15598587737604,14.897351383499252,24.922209333806588,2.448675691749626,74.84433787071475,0.0,0.0,1.5015590485612182,-1.7350565428841946e-12
3,2.0,0,0,0,1.5024345998667261,1.5024345998667261,10,2.2573097268766893,15.04873151251126,2.52436575625563,25.2436575625563,14.877274514702862,24.878664092175555,2.4386372573514308,74.75713146109294,0.0,0.0,1.5024345998643913,-2.3347990207867042e-12
4,2.0,0,0,0,1.5034268999692366,1.5034268999692366,10,2.260292443551109,15.068616290340724,2.534308145170362,25.343081451703622,14.851555965031602,24.82943494030943,2.4257779825158012,74.6584808005945,0.0,0.0,1.5034268999666116,-2.62501131942372e-12
5,2.0,0,0,0,1.5045824682036502,1.5045824682036502,10,2.263768403625788,15.091789357505252,2.545894678752626,25.458946787526262,14.818996916235236,24.77226942879429,2.4094984581176178,74.54384456036227,0.0,0.0,1.504582468201242,-2.4080737404119645e-12
6,2.0,0,0,0,1.5059561712370124,1.5059561712370124,10,2.267903989686842,15.11935993124561,2.559679965622805,25.596799656228047,14.778078050044735,24.704540944032477,2.3890390250223676,74.40791178448632,0.0,0.0,1.50595617123566,-1.3524736885983657e-12
7,2.0,0,0,0,1.5076141335197335,1.5076141335197335,10,2.2729003755884567,15.152669170589709,2.5763345852948545,25.763345852948543,14.726885767864607,24.623125874651596,2.3634428839323034,74.24434516012039,0.0,0.0,1.5076141335208206,1.0871303857129533e-12
8,2.0,0,0,0,1.50963740250971,1.50963740250971,10,2.2790050870562637,15.193367247041756,2.596683623520878,25.96683623520878,14.66301825745584,24.52425617111874,2.3315091287279204,74.04546876930084,0.0,0.0,1.5096374025155144,5.8044680173452434e-12
9,2.0,0,0,0,1.5121266709514438,1.5121266709514438,10,2.286527069002696,15.243513793351305,2.6217568966756524,26.217568966756524,14.583465909017955,24.403339682734785,2.2917329545089773,73.80188158910202,0.0,0.0,1.5121266709657206,1.4276801962864738e-11
