period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.962544104623936,25,2.481272052311968,75.0,0.0,0.0,1.5,0.0
1,2.0,0,0,0,1.500374746121215,1.500374746121215,10,2.2511243787983,15.007495858655332,2.503747929327666,25.03747929327666,14.956925720317527,24.98127205231197,2.4784628601587633,74.96253942654515,0.0,0.0,1.5003747461224395,1.2245759961615477e-12
2,2.0,0,0,0,1.500768632910225,1.500768632910225,10,2.252306489527226,15.015376596848169,2.5076882984240845,25.076882984240843,14.949340199566858,24.961607707239537,2.4746700997834292,74.92319574807043,0.0,0.0,1.5007686329124588,2.233768725545815e-12
3,2.0,0,0,0,1.5011995753592269,1.5011995753592269,10,2.253600165058723,15.024001100391486,2.5120005501957428,25.120005501957426,14.939434739974663,24.940117036299014,2.4697173699873316,74.880186208603,0.0,0.0,1.5011995753621818,2.9549696023423166e-12
4,2.0,0,0,0,1.5016873349720663,1.5016873349720663,10,2.255064852015507,15.033765680103377,2.5168828400516885,25.168828400516883,14.92674978591214,24.915822702656445,2.46337489295607,74.83155078597733,0.0,0.0,1.5016873349753106,3.2442937225596324e-12
5,2.0,0,0,0,1.5022544533002076,1.5022544533002076,10,2.2567684424603054,15.045122949735367,2.5225614748676835,25.225614748676833,14.910697401783455,24.88761532534687,2.4553487008917276,74.77506190904967,0.0,0.0,1.502254453303061,2.8534952178915773e-12
6,2.0,0,0,0,1.5029273388202153,1.5029273388202153,10,2.2587905857732142,15.05860390515476,2.52930195257738,25.293019525773797,14.89053356959067,24.854202493703916,2.4452667847953347,74.70812082472237,0.0,0.0,1.5029273388215927,1.3773426843499692e-12
7,2.0,0,0,0,1.5037375682446485,1.5037375682446485,10,2.261226674150329,15.074844494335524,2.537422247167762,25.37422247167762,14.86532301925606,24.81404902912886,2.43266150962803,74.62763549073142,0.0,0.0,1.5037375682428233,-1.8252066524837574e-12
8,2.0,0,0,0,1.5047234802480431,1.5047234802480431,10,2.264192752009783,15.094618346731883,2.5473091733659414,25.473091733659412,14.833894797994141,24.765305635844005,2.4169473989970705,74.52987377154733,0.0,0.0,1.5047234802402787,-7.764455745018495e-12
9,2.0,0,0,0,1.5059321639008065,1.5059321639008065,10,2.2678316822709657,15.118877881806435,2.5594389409032177,25.594389409032175,14.79478626568348,24.705722471256674,2.3973931328417404,74.4102842037447,0.0,0.0,1.5059321638827845,-1.802202831413524e-11
10,1.9,0,0,0,1.559860544764395,1.559860544764395,10,2.195931339499189,14.639542263327925,2.3197711316639626,23.197711316639626,14.746172523265038,24.632543356972747,2.373086261632519,69.35411516203085,0.0,0.0,1.5598605447257847,-3.861022612738907e-11
11,1.9,0,0,0,1.561768506324663,1.561768506324663,10,2.201306582781181,14.675377218541204,2.337688609270602,23.37688609270602,14.762167062255607,24.54237528290799,2.3810835311278034,69.18476336098,0.0,0.0,1.561768506249375,-7.528799805811559e-11
12,1.9,0,0,0,1.563323329614257,1.563323329614257,10,2.2056917992068765,14.704611994712508,2.352305997356254,23.52305997356254,14.775185538812769,24.469221285744997,2.3875927694063845,69.04721461076555,0.0,0.0,1.5633233294857252,-1.2853185182848392e-10
13,1.9,0,0,0,1.5645888811810726,1.5645888811810726,10,2.209264376321685,14.728429175477897,2.3642145877389487,23.642145877389485,14.785771570427812,24.409891926576883,2.392885785213906,68.93555912597266,0.0,0.0,1.5645888809816237,-1.9944890183865027e-10
14,1.9,0,0,0,1.5656179870528375,1.5656179870528375,10,2.212171612448499,14.747810749656658,2.373905374828329,23.73905374828329,14.7943729296703,24.3617885191331,2.3971864648351504,68.84496401570942,0.0,0.0,1.5656179867670996,-2.857378778031716e-10
15,1.9,0,0,0,1.5664541655069666,1.5664541655069666,10,2.2145352340022995,14.763568226681993,2.3817841133409967,23.817841133409967,14.801357256672347,24.322796132054943,2.4006786283361734,68.77148429869074,0.0,0.0,1.5664541651259567,-3.8100989030454e-10
16,1.9,0,0,0,1.5671331501933363,1.5671331501933363,10,2.216455445167488,14.776369634449917,2.3881848172249587,23.881848172249587,14.807025611170904,24.291195147185622,2.4035128055854518,68.711904597211,0.0,0.0,1.5671331497183643,-4.749720616814557e-10
17,1.9,0,0,0,1.567684205161697,1.567684205161697,10,2.2180144748198996,14.786763165465995,2.3933815827329976,23.933815827329976,14.811624007679052,24.26558843805251,2.405812003839526,68.66360740053703,0.0,0.0,1.5676842046071706,-5.545264247786008e-10
18,1.9,0,0,0,1.5681312448994649,1.5681312448994649,10,2.2192796301100257,14.795197534066835,2.3975987670334176,23.975987670334174,14.81535313401101,24.244841598086786,2.407676567005505,68.62446401586469,0.0,0.0,1.5681312442938895,-6.055753676292852e-10
19,1.9,0,0,0,1.5684937783665875,1.5684937783665875,10,2.220305891329161,14.802039275527736,2.401019637763868,24.01019637763868,14.818376474002639,24.228034005283615,2.4091882370013193,68.59274468181134,0.0,0.0,1.568493777751419,-6.151685827404663e-10
20,1.9,0,0,0,1.5687876982294569,1.5687876982294569,10,2.22113809500976,14.807587300065064,2.403793650032532,24.03793650032532,14.820827053773876,24.214418841756572,2.4104135268869378,68.56704472969552,0.0,0.0,1.56878769765588,-5.735767416581439e-10
21,1.9,0,0,0,1.5690259364687738,1.5690259364687738,10,2.2218127563538204,14.8120850423588,2.4060425211794003,24.060425211794,14.8228130168302,24.203390484467853,2.4114065084150997,68.54622409420391,0.0,0.0,1.5690259359928544,-4.759193039660659e-10
22,1.9,0,0,0,1.5692190062365123,1.5692190062365123,10,2.2223595813043513,14.815730542029007,2.4078652710145034,24.078652710145033,14.824422213000911,24.194457944436166,2.4122111065004557,68.52935786985857,0.0,0.0,1.5692190059134148,-3.230975487156229e-10
23,1.9,0,0,0,1.569375447900483,1.569375447900483,10,2.2228027150667393,14.818684767111593,2.4093423835557966,24.093423835557964,14.8257259636467,24.187223256493006,2.4128629818233502,68.51569596858798,0.0,0.0,1.5693754477785544,-1.2192846732261842e-10
24,1.9,0,0,0,1.5695021950417505,1.5695021950417505,10,2.2231617690673877,14.821078460449248,2.4105392302246242,24.10539230224624,14.826782143126968,24.18136391266706,2.413391071563484,68.50463025076195,0.0,0.0,1.569502195157218,1.1546741340850986e-10
25,1.9,0,0,0,1.56960487399982,1.56960487399982,10,2.223452663086802,14.82301775391201,2.411508876956005,24.11508876956005,14.827637695528628,24.176618592963838,2.413818847764314,68.49566777653304,0.0,0.0,1.5696048743726927,3.728726216678524e-10
