period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
1,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
2,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
3,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
4,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
5,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
6,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
7,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
8,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
9,2.0,0,0,0,1.5,1.5,10,2.25,14.999999999999998,2.499999999999999,24.99999999999999,14.999999999999998,25.0,2.499999999999999,75.0,0.0,0.0,1.5,0.0
10,1.8,0,0,0,1.609148974343127,1.609148974343127,10,2.097381941519926,13.982546276799505,1.9912731383997526,19.912731383997524,14.35452943518276,25.0,2.17726471759138,65.17053346089665,0.0,0.0,1.609148974342511,-6.161737786669619e-13
11,1.8,0,0,0,1.6161335610449976,1.6161335610449976,10,2.115629026580148,14.104193510534317,2.0520967552671587,20.520967552671586,14.410326908940249,24.67726471759138,2.2051634544701244,64.6084442419235,0.0,0.0,1.6161335610426426,-2.355005079834882e-12
12,1.8,0,0,0,1.6219063775512181,1.6219063775512181,10,2.1307700410084647,14.205133606723095,2.1025668033615474,21.025668033615474,14.45624691870114,24.414701700302366,2.22812345935057,64.14934383784419,0.0,0.0,1.6219063775510438,-1.7430501486614958e-13
13,1.8,0,0,0,1.6266584053932247,1.6266584053932247,10,2.143274229947507,14.288494866316713,2.1442474331583563,21.44247433158356,14.49391391549785,24.2013549896227,2.2469569577489246,63.77508677555554,0.0,0.0,1.6266584054008753,7.650546862691954e-12
14,1.8,0,0,0,1.6305569985622699,1.6305569985622699,10,2.1535600617039226,14.357067078026148,2.178533539013074,21.78533539013074,14.524726772875022,24.028176448409354,2.262363386437511,63.47048425844163,0.0,0.0,1.6305569985862032,2.3933299786449425e-11
15,1.8,0,0,0,1.6337465209514446,1.6337465209514446,10,2.1619934327239685,14.41328955149312,2.20664477574656,22.0664477574656,14.549875727102355,23.88772219000593,2.2749378635511777,63.22290249463044,0.0,0.0,1.6337465210044009,5.295630600699042e-11
16,1.8,0,0,0,1.6363499436205733,1.6363499436205733,10,2.1688893217695133,14.459262145130086,2.2296310725650432,22.296310725650432,14.57036365344374,23.773887834556515,2.28518182672187,63.02188802870379,0.0,0.0,1.6363499437210762,1.005029393041923e-10
17,1.8,0,0,0,1.6384709563780269,1.6384709563780269,10,2.174515530664404,14.496770204429357,2.2483851022146784,22.483851022146784,14.58702887969079,23.681680877822735,2.293514439845395,62.85882903277123,0.0,0.0,1.6384709565510016,1.7297474563804371e-10
18,1.8,0,0,0,1.6401962776389454,1.6401962776389454,10,2.1790975016363285,14.527316677575522,2.263658338787761,22.636583387877607,14.600567680980008,23.60702722988586,2.300283840490004,62.72665626549962,0.0,0.0,1.6401962779140307,2.7508528788189324e-10
19,1.8,0,0,0,1.6415979541075365,1.6415979541075365,10,2.18282351277334,14.552156751822265,2.2760783759111325,22.760783759111323,14.611555331490685,23.546608347387277,2.3057776657453424,62.619583824572686,0.0,0.0,1.6415979545137198,4.0618330920949575e-10
20,1.8,0,0,0,1.6427355240951718,1.6427355240951718,10,2.1858498017206336,14.572332011470888,2.286166005735444,22.861660057354438,14.620465118440949,23.497725178393893,2.3102325592204744,62.5328875752766,0.0,0.0,1.6427355246513913,5.562195148911542e-10
21,1.8,0,0,0,1.6436579772040183,1.6436579772040183,10,2.1883053522813882,14.588702348542586,2.294351174271293,22.943511742712932,14.627685084486462,23.45818521977498,2.313842542243231,62.46271789288432,0.0,0.0,1.6436579779072291,7.032108229054757e-10
22,1.8,0,0,0,1.644405482892508,1.644405482892508,10,2.1902962076552237,14.60197471770149,2.300987358850745,23.009873588507446,14.633532494878045,23.426209240040713,2.3167662474390225,62.405942806690334,0.0,0.0,1.64440548370671,8.142018170786969e-10
23,1.8,0,0,0,1.6450108857071264,1.6450108857071264,10,2.191909259416905,14.612728396112699,2.3063641980563494,23.063641980563492,14.638266161454531,23.400354563475666,2.3191330807272657,62.360017537844726,0.0,0.0,1.6450108865579742,8.508478366309191e-10
24,1.8,0,0,0,1.6455009798352387,1.6455009798352387,10,2.193215514457372,14.621436763049145,2.3107183815245724,23.107183815245723,14.642096826255806,23.379452187855367,2.3210484131279028,62.32287660266594,0.0,0.0,1.6455009806142489,7.790101896887336e-10
25,1.8,0,0,0,1.6458975834154461,1.6458975834154461,10,2.194272872625173,14.628485817501149,2.3142429087505745,23.142429087505743,14.645195835736805,23.362555382197733,2.3225979178684026,62.29284498246942,0.0,0.0,1.6458975839953696,5.79923442600716e-10
26,1.8,0,0,0,1.6462184362171504,1.6462184362171504,10,2.1951284631904047,14.634189754602696,2.317094877301348,23.170948773013478,14.647702338472156,23.348897761846363,2.323851169236078,62.26856525665937,0.0,0.0,1.6462184364765584,2.5940805059576633e-10
27,1.8,0,0,0,1.6464779446389228,1.6464779446389228,10,2.1958205939677535,14.63880395978502,2.3194019798925103,23.1940197989251,14.649729226052576,23.337859154897806,2.324864613026288,62.248938005278674,0.0,0.0,1.6464779444906847,-1.4823808847097553e-10
28,1.8,0,0,0,1.6466877966855584,1.6466877966855584,10,2.196380366800043,14.64253577866695,2.321267889333475,23.21267889333475,14.65136801599271,23.328937852434315,2.3256840079963554,62.23307317940781,0.0,0.0,1.6466877961019872,-5.835711913704245e-10
29,1.8,0,0,0,1.6468574674620553,1.6468574674620553,10,2.196833009689783,14.645553397931884,2.322776698965942,23.227766989659422,14.652692851591576,23.321728075187238,2.326346425795788,62.22025049628135,0.0,0.0,1.6468574664897664,-9.72288916045727e-10
30,1.8,0,0,0,1.6469946332716792,1.6469946332716792,10,2.1971989708408275,14.647993138938848,2.323996569469424,23.239965694694238,14.65376376964053,23.3159016934643,2.3268818848202653,62.20988723362174,0.0,0.0,1.6469946320315751,-1.240104019473165e-09
31,1.8,0,0,0,1.647105509926703,1.647105509926703,10,2.1974948142730324,14.64996542848688,2.32498271424344,23.2498271424344,14.654629364245785,23.311193408938138,2.3273146821228927,62.20151207306306,0.0,0.0,1.6471055085981885,-1.32851440959314e-09
32,1.8,0,0,0,1.6471951285436013,1.6471951285436013,10,2.197733951113195,14.651559674087963,2.3257798370439815,23.257798370439815,14.65532895460962,23.307388750167217,2.3276644773048103,62.19474387752275,0.0,0.0,1.6471951273359822,-1.2076191158172378e-09
33,1.8,0,0,0,1.6472675599834041,1.6472675599834041,10,2.197927235480679,14.652848236537857,2.3264241182689283,23.264241182689283,14.655894346687873,23.304314352455307,2.3279471733439365,62.18927448553755,0.0,0.0,1.6472675591003623,-8.830418618543945e-10
34,1.8,0,0,0,1.6473260972440575,1.6473260972440575,10,2.198083449235684,14.653889661571226,2.326944830785613,23.269448307856127,14.656351263210377,23.301830090553715,2.3281756316051885,62.18485477117992,0.0,0.0,1.6473260968484267,-3.9563086140503856e-10
35,1.8,0,0,0,1.6473734035154959,1.6473734035154959,10,2.1982096957942856,14.654731305295234,2.327365652647617,23.27365652647617,14.656720503456249,23.29982271310353,2.3283602517281246,62.18128335559269,0.0,0.0,1.6473734037011245,1.856286235835114e-10
36,1.8,0,0,0,1.6474116322533545,1.6474116322533545,10,2.198311719727766,14.655411464851772,2.327705732425886,23.27705732425886,14.657018883180402,23.298200693521302,2.3285094415902012,62.17839746958987,0.0,0.0,1.6474116330289823,7.756277842219106e-10
37,1.8,0,0,0,1.6474425244895157,1.6474425244895157,10,2.1983941659120747,14.655961106080495,2.3279805530402475,23.279805530402474,14.6572599959297,23.29689006575937,2.3286299979648497,62.17606555995673,0.0,0.0,1.6474425257768828,1.2873671018098776e-09
38,1.8,0,0,0,1.64746748764977,1.64746748764977,10,2.1984607895190664,14.65640526346044,2.3282026317302202,23.2820263173022,14.657454829407083,23.295831057148284,2.3287274147035415,62.17418130838238,0.0,0.0,1.647467489295412,1.6456420670607486e-09
39,1.8,0,0,0,1.6474876593641747,1.6474876593641747,10,2.1985146260833703,14.656764173889133,2.3283820869445666,23.283820869445666,14.657612264299079,23.294975366136995,2.3288061321495395,62.17265879426311,0.0,0.0,1.647487661162003,1.797828330651896e-09
40,1.8,0,0,0,1.6475039591091578,1.6475039591091578,10,2.198558129177083,14.657054194513885,2.3285270972569423,23.28527097256942,14.657739477860574,23.29428396167284,2.328869738930287,62.17142858337972,0.0,0.0,1.6475039608294806,1.7203227731243942e-09
41,1.8,0,0,0,1.6475171299899416,1.6475171299899416,10,2.1985932818243383,14.657288545495586,2.328644272747793,23.28644272747793,14.657842270362579,23.293725304435842,2.3289211351812895,62.17043456574791,0.0,0.0,1.6475171314100878,1.4201462228413675e-09
42,1.8,0,0,0,1.6475277725380002,1.6475277725380002,10,2.1986216866400596,14.657477910933729,2.3287389554668643,23.287389554668643,14.657925329092631,23.293273909173546,2.3289626645463155,62.1696313994911,0.0,0.0,1.647527773470078,9.320777483168285e-10
43,1.8,0,0,0,1.6475363720443326,1.6475363720443326,10,2.1986446387392915,14.657630924928608,2.328815462464304,23.288154624643038,14.657992441816466,23.29290918280251,2.328996220908233,62.16898244481596,0.0,0.0,1.6475363723566836,3.1235103392646124e-10
44,1.8,0,0,0,1.647543320661259,1.647543320661259,10,2.198663184698978,14.657754564659852,2.328877282329926,23.288772823299258,14.658046669349647,23.292614485430494,2.3290233346748233,62.1684580942581,0.0,0.0,1.6475433202915437,-3.697153694304234e-10
45,1.8,0,0,0,1.6475489352713826,1.6475489352713826,10,2.198678170232232,14.657854468214877,2.3289272341074385,23.289272341074383,14.658090485053117,23.292376371562266,2.3290452425265586,62.16803442327051,0.0,0.0,1.647548934230627,-1.0407554817959408e-09
46,1.8,0,0,0,1.6475534719323701,1.6475534719323701,10,2.19869027872989,14.657935191532596,2.328967595766298,23.28967595766298,14.658125887578853,23.2921839769326,2.3290629437894266,62.167692099734175,0.0,0.0,1.6475534703005856,-1.6317844853119823e-09
47,1.8,0,0,0,1.6475571375522133,1.6475571375522133,10,2.1987000624143866,14.65800041609591,2.3290002080479546,23.290002080479546,14.658154491985792,23.292028523028765,2.329077245992896,62.167415502720964,0.0,0.0,1.6475571354671235,-2.0850898785340632e-09
