period,a,td,sub,itc,p,p_net,pk_net,gamma,lam_ss,inv_ss,cap_ss,lam,cap,inv,q,rev_ptc,rev_itc,p_market,p_diff
0,2,0,0,0,2.0358132124461474,2.0358132124461474,10,4.144535435970303,27.630236239802016,8.815118119901008,88.15118119901008,27.630236239802016,10.0,8.815118119901008,40.71626424892295,0.0,0.0,2.0358132124461963,4.8849813083506894e-14
1,2,0,0,0,2.0358132124461474,2.0358132124461474,10,4.144535435970303,27.630236239802016,8.815118119901008,88.15118119901008,27.630236239802016,17.81511811990101,8.815118119901008,72.53650569956649,0.0,0.0,1.525258927031375,-0.5105542854147724
2,2,0,0,0,2.0358132124461474,2.0358132124461474,10,4.144535435970303,27.630236239802016,8.815118119901008,88.15118119901008,27.630236239802016,24.84872442781192,8.815118119901008,101.17472300514568,0.0,0.0,1.2914746285164045,-0.744338583929743
3,2,0,0,0,2.0358132124461474,2.0358132124461474,10,4.144535435970303,27.630236239802016,8.815118119901008,88.15118119901008,27.630236239802016,31.17897010493173,8.815118119901008,126.94911858016692,0.0,0.0,1.152940899944986,-0.8828723125011615
4,2,0,0,0,2.0358132124461474,2.0358132124461474,10,4.144535435970303,27.630236239802016,8.815118119901008,88.15118119901008,27.630236239802016,36.87619121433957,8.815118119901008,150.14607459768607,0.0,0.0,1.0601440969834244,-0.9756691154627232
5,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,42.00369021280663,0.3067623340850263,105.99683283102677,0.0,0.0,1.2617561968246909,0.0
6,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,38.110083525610996,0.3067623340850263,96.17126809989247,0.0,0.0,1.3246441304159893,0.0628879335912984
7,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,34.60583750713493,0.3067623340850263,87.32825984187161,0.0,0.0,1.390095020503214,0.12833882367852323
8,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,31.45201609050646,0.3067623340850263,79.36955240965283,0.0,0.0,1.4581255674785782,0.19636937065388738
9,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,28.613576815540842,0.3067623340850263,72.20671572065592,0.0,0.0,1.528738119074693,0.26698192225000206
10,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,26.058981468071785,0.3067623340850263,65.76016270055871,0.0,0.0,1.6019186265211292,0.3401624296964383
11,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,23.759845655349633,0.3067623340850263,59.95826498247121,0.0,0.0,1.6776345521847853,0.41587835536009443
12,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,21.690623423899694,0.3067623340850263,54.736557036192465,0.0,0.0,1.755832779134185,0.49407658230949414
13,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,19.828323415594753,0.3067623340850263,50.0370198845416,0.0,0.0,1.8364375858061763,0.5746813889814855
14,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,18.152253408120302,0.3067623340850263,45.80743644805581,0.0,0.0,1.9193487618675795,0.6575925650428887
15,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,16.643790401393296,0.3067623340850263,42.0008113552186,0.0,0.0,2.0044399535698196,0.7426837567451288
16,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,15.286173695338995,0.3067623340850263,38.574848771665124,0.0,0.0,2.0915573372531706,0.8298011404284797
17,2,0,0,0,1.2617561968246909,1.2617561968246909,10,1.592028700225508,10.613524668170053,0.3067623340850263,3.067623340850263,10.613524668170053,14.064318659890123,0.3067623340850263,35.49148244646699,0.0,0.0,2.1805187268068633,0.9187625299821724
